instance "si-noninduced-gss-20201208" "si-parity-gss-20201208" "si-moreoddthaneven-gss-20201208" "si-lessthreeodd-gss-20201208" "si-noninduced-minion-preprocess-gac-20201208" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201208" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201208" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201208" "si-moreoddthaneven-minion-preprocess-gac-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201208" "si-lessthreeodd-minion-preprocess-gac-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201208" "si-parity-minion-preprocess-gac-20201208" "si-parity-hybrid-preprocess-gac-comm-checker-20201208" "si-parity-hybrid-preprocess-gac-comm-propagate-20201208" "si-parity-hybrid-preprocess-gac-comm-rollback-20201208" "si-noninduced-pathlad-20201208" "si-noninduced-vf2-20201208" "si-noninduced-ri-20201208"
F.02 0.312369 0.348428 0.360441 0.326568 NaN 127.815 115.52 124.977 NaN 123.733 112.561 114.425 NaN 120.695 113.323 125.215 NaN 122.112 126.707 120.865 0.129451 3600.01 0.597429
F.11 0.290036 0.282973 0.269808 0.362261 NaN 124.381 120.949 106.376 NaN 125.883 123.54 121.105 NaN 105.065 105.503 124.321 NaN 125.795 126.176 108.837 0.0569485 3600.02 0.0714329
F.12 0.311499 0.280151 0.281189 0.283627 108.665 116.31 123.108 116.827 NaN 100.63 125.27 126.744 NaN 116.77 124.281 99.0601 NaN 102.097 102.529 127.778 0.0686879 3600.01 0.0548636
E.05 0.287396 0.321072 0.323864 0.294609 NaN 119.62 99.4186 99.4693 NaN 115.83 90.6464 92.7415 NaN 92.9155 93.7573 87.6361 NaN 90.4624 95.4731 93.7653 0.0318945 3600.01 3600.02
B.16 0.120076 0.0844788 0.104226 0.10018 30.1851 18.2453 18.4 18.3948 31.3899 19.2221 20.2432 19.4582 583.222 19.1889 18.515 18.8541 26.3567 18.4146 19.1825 19.1794 0.0300815 3600.01 0.032857
A.08 0.0166314 0.0144867 0.0187383 0.0147585 7.5083 5.38689 5.57657 5.39853 10.5451 6.27623 6.24077 6.05964 10.7898 5.00632 4.93821 5.40701 5.3252 6.37576 6.32324 6.35482 0.00611462 2.82875 0.0281066
C.14 0.280494 0.19593 0.284795 0.255737 1291.75 43.5638 44.91 41.9526 1403.15 47.3864 45.0481 45.6359 1947.78 42.5094 41.3678 40.6811 70.1157 50.873 48.299 53.0489 0.0823327 3600.01 0.0544294
F.16 0.268439 0.294319 0.263605 0.259606 NaN 114.578 119.938 109.141 NaN 112.062 113.207 111.231 NaN 104.002 117.1 114.899 NaN 115.367 112.467 111.503 0.071788 3600.01 0.0558717
F.06 0.34446 0.344002 0.336032 0.339859 NaN 103.039 108.695 101.2 NaN 88.4963 100.933 98.7098 NaN 87.5936 104.681 94.2363 NaN 87.3773 96.0842 98.2606 0.232918 3600.01 3.63459
A.03 0.0285872 0.0138658 0.0248237 0.0171787 13.6649 5.14479 5.34884 5.20752 17.4919 5.83742 4.86282 4.9614 18.3686 4.95748 5.65304 6.10563 5.46639 4.92891 5.27829 5.09681 0.00848235 17.4895 0.0291464
E.19 0.0766107 0.100179 0.0781337 0.100448 NaN 89.5538 100.24 102.913 NaN 92.0927 98.0258 85.2415 NaN 83.1373 84.047 92.5788 NaN 80.8076 82.932 80.5284 0.0244051 3600.01 476.344
C.15 0.272749 0.196519 0.263542 0.306909 1231.12 42.1898 42.2667 42.0558 1218.17 46.136 44.2593 40.5319 1863.66 38.7885 39.3104 38.9054 66.4367 48.0837 48.0043 47.1577 0.0919312 3600.01 0.0481947
A.16 0.0185203 0.015289 0.0180947 0.0175907 6.80566 9.52413 9.57902 4.79198 19.4922 5.08608 4.97018 4.86653 18.7813 4.98654 5.27526 6.07372 6.16286 5.8433 6.19512 5.37868 0.00714259 478.849 0.0334341
B.14 0.158377 0.108766 0.0995772 0.101826 312.354 18.429 18.0548 18.5177 308.559 18.4125 19.0354 18.0301 430.95 19.1399 19.095 17.7668 23.7648 19.7629 19.0154 18.6655 0.0360614 3600.01 0.0355719
A.02 0.0178831 0.0146339 0.0160135 0.0162257 5.84903 4.33582 4.69581 4.73813 8.1908 4.87184 5.27512 5.43601 10.9708 4.43444 4.33962 4.60575 5.07724 4.76129 4.89369 4.64823 0.00925572 0.43096 0.0285459
F.14 0.361976 0.285018 0.313035 0.256117 NaN 88.8627 90.612 93.3652 NaN 87.8273 86.4388 95.4946 NaN 90.9771 87.6306 91.6461 NaN 90.2752 87.42 89.9939 0.0487797 3600.01 0.0794062
F.05 0.278135 0.268099 0.283547 0.271751 NaN 99.7244 99.5968 95.3095 NaN 98.08 102.347 99.4499 NaN 95.518 96.5272 92.9482 NaN 100.372 99.3137 95.3394 0.129804 3600.01 35.7032
B.09 0.134895 0.0933179 0.166903 0.163184 273.553 17.8664 18.5519 18.3424 275.93 20.8847 20.0354 19.9172 437.721 17.7605 17.5301 18.3237 25.0795 20.0255 19.0466 19.6142 0.0357919 3600.01 0.034244
A.01 0.0176269 0.0137829 0.0173196 0.0165324 12.9768 4.90997 4.5572 4.74442 20.9824 4.76711 4.85656 4.73561 18.0268 5.20146 5.43065 5.46211 5.71469 6.44814 5.74653 5.41831 0.00915976 2.15561 0.0339068
C.05 0.273281 0.190872 0.270942 0.254862 491.617 39.7033 38.561 39.502 478.731 42.4605 44.7248 43.4732 2206.94 39.443 42.9639 39.9695 63.3545 46.6304 46.1315 47.4631 0.0924486 3600.01 0.0489921
B.01 0.0995436 0.072148 0.0894441 0.0897425 38.2936 16.3789 16.9892 17.0428 46.3135 18.1098 18.8847 19.0728 536.708 17.1491 17.7726 17.6348 24.7547 18.8695 19.2329 19.1284 0.0308644 3600.01 0.0425597
A.09 0.0187891 0.0157002 0.0279659 0.0265661 12.0416 4.57835 4.53021 4.54895 20.8866 4.88713 4.8497 4.9128 21.5202 5.00219 4.74338 4.77436 5.26139 4.94965 4.93284 5.10953 0.00793484 58.5946 0.0366387
A.07 0.0255609 0.0209341 0.026421 0.0235167 13.3349 4.69941 5.23847 4.87073 32.6939 5.22826 4.76662 5.20628 28.4698 4.39557 4.42158 4.74979 5.08279 4.47482 4.97847 4.71152 0.00924606 2.73583 0.0272128
F.03 0.305811 0.265013 0.265038 0.289854 NaN 88.0462 91.3409 94.192 NaN 101.217 100.644 97.6632 NaN 96.3206 98.457 90.37 NaN 95.6884 96.0622 90.3359 0.058811 3600.01 0.0539237
E.12 0.396701 0.366076 0.511636 0.316126 NaN 106.369 106.648 108.338 NaN 100.357 101.698 99.6397 NaN 100.825 95.5441 97.4612 NaN 97.7823 96.7997 99.3868 0.0373074 3600.01 3600.03
C.06 0.284432 0.2073 0.285695 0.255466 1006.28 36.1892 37.4239 41.5507 1713.5 41.9623 40.2202 40.1751 1671.43 40.5692 41.0477 38.9007 63.3723 48.7002 47.8044 48.1195 0.0982606 3600.01 0.0530778
C.09 0.279246 0.207916 0.252707 0.244883 1010.91 38.2937 38.1503 39.1686 928.158 39.8158 40.713 43.1759 NaN 37.7262 39.9675 37.9345 70.7336 46.5649 46.8072 45.408 0.137745 3600.01 0.0449851
B.17 0.103271 0.114175 0.167811 0.130723 142.193 16.6335 16.1244 16.4106 441.073 16.8035 16.7055 16.9323 435.769 15.6907 15.9059 16.0763 23.1095 17.9729 17.733 17.2266 0.053607 3600.01 0.0373821
C.07 0.305067 0.200103 0.288346 0.258569 1086.47 39.4219 39.9137 40.1104 2045.13 42.1584 40.95 39.6445 2207.08 39.3202 38.7693 38.2386 64.8535 44.9087 45.3103 46.0919 0.0831668 3600.01 0.0396045
E.09 0.30652 0.303473 0.305762 0.304618 NaN 105.4 115.991 101.222 NaN 107.288 105.907 102.664 NaN 111.435 98.7863 109.797 NaN 99.2675 105.658 99.2117 0.0418416 3600.01 1525.19
E.17 0.113739 0.115315 0.114126 0.0970167 NaN 85.9534 84.6436 87.6099 NaN 84.8179 84.7787 90.3205 NaN 88.9248 89.1159 83.5062 NaN 88.8024 89.5069 83.4085 0.0254321 3600.01 3600.02
C.11 0.278032 0.303239 0.3004 0.248322 151.983 38.4045 37.3421 38.3934 152.205 40.6694 39.5687 40.5129 2665.91 37.8435 38.7794 37.0654 68.1529 45.0612 50.7576 45.1868 0.139765 3600.01 0.0479521
F.10 0.0692164 0.0616728 0.0725704 0.067753 NaN 103.084 101.219 104.994 NaN 106.017 106.735 103.479 NaN 105.572 107.909 103.776 NaN 98.55 96.9912 105.556 0.0281983 127.826 3069.02
A.17 0.0282028 0.0238583 0.0193103 0.0265329 5.23978 4.52815 4.38747 4.53333 9.64668 5.25666 5.08704 5.43315 9.09967 4.95516 4.85313 4.94947 4.84684 5.14027 4.99988 4.60205 0.00696351 12.3605 0.0352142
B.15 0.102088 0.073994 0.0925462 0.0914295 178.608 16.5641 16.7747 17.5959 178.453 18.3933 18.2433 18.8017 700.395 17.1522 17.6691 18.188 25.34 19.473 20.4769 19.9201 0.0473333 3600.01 0.0363984
E.03 0.133079 0.135558 0.160061 0.162576 NaN 82.8606 81.4311 82.2944 NaN 80.2983 81.5743 82.0191 NaN 79.9327 80.6063 78.8323 NaN 87.683 80.7018 81.3468 0.0198641 3600.01 52.0676
F.19 0.302933 0.336962 0.406677 0.284456 NaN 93.3809 99.4909 96.6331 NaN 91.0057 100.05 99.795 NaN 82.7243 100.921 98.5549 NaN 95.6425 85.0447 87.264 0.0774673 3600.01 0.112805
A.12 0.0179096 0.0139964 0.0160014 0.0166882 7.65917 4.3711 4.91452 4.7436 8.69555 5.06561 4.86294 4.64233 7.92947 4.64767 4.5098 4.24068 5.02331 5.09902 4.98802 4.60115 0.00564634 0.891185 0.0274828
B.08 0.101181 0.0723066 0.089545 0.152636 117.938 15.818 16.1143 16.8489 118.849 18.4408 17.4619 18.8185 483.117 16.1979 16.7523 16.8746 21.3172 18.383 18.4015 17.8952 0.0373546 3600.01 0.0396294
F.17 0.311856 0.299472 0.321755 0.303741 NaN 82.1755 92.2147 84.6394 NaN 82.1546 91.584 84.5638 NaN 81.5625 85.6875 87.0428 NaN 83.9259 82.7888 84.0436 0.323675 3600.01 0.996379
C.04 0.349053 0.217577 0.276296 0.260443 84.819 35.3125 36.7137 37.6649 2642.05 39.5993 39.5148 39.6637 2707.94 37.746 36.8965 38.5057 75.5564 45.4132 44.991 46.5237 0.172442 3600.01 0.0574362
B.19 0.104215 0.0735213 0.137505 0.0948186 60.3731 16.4388 16.6837 16.9124 426.309 17.1965 16.8297 19.1199 442.101 16.8279 16.121 16.0654 22.1097 17.7988 18.6889 18.0638 0.0426716 3600.01 0.0359508
C.16 0.282749 0.194712 0.257587 0.255768 452.882 37.7999 38.8515 38.2371 458.341 40.7262 42.257 39.4222 2220.61 39.8219 38.7112 37.2615 84.8483 45.5325 47.3014 48.5362 0.111248 3600.01 0.046328
C.17 0.28002 0.223006 0.274236 0.246672 740.525 36.665 37.1462 37.0691 2471.66 37.9459 38.2094 39.232 2475.24 36.7605 38.0068 36.5142 63.5532 43.9938 44.8065 46.1776 0.0834448 3600.01 0.0461638
E.08 0.27287 0.180307 0.181412 0.259297 NaN 81.1164 78.5864 82.5235 NaN 83.9244 77.4433 80.572 NaN 78.0762 80.5062 78.7802 NaN 79.8202 79.1336 79.8102 0.0202673 3600.01 3600.02
F.13 0.477282 0.508726 0.398406 0.358768 NaN 96.606 113.969 91.7584 NaN 97.1712 112.154 97.4498 NaN 94.5149 113.744 96.3382 NaN 94.036 91.2546 96.5917 1.10711 3600.01 3550.51
A.20 0.02459 0.0144154 0.0177845 0.0167022 11.6942 4.47321 4.38732 4.36609 17.7272 5.41422 4.93022 4.73622 15.5701 4.60835 4.57857 4.33276 4.94511 4.72865 4.76392 4.57378 0.00800841 157.048 0.0275074
E.02 0.111127 0.0892045 0.0743532 0.0751781 NaN 79.9511 80.4369 87.4336 NaN 84.6938 78.9751 80.9412 NaN 83.2694 84.8815 80.3981 NaN 83.9222 81.6599 81.6612 0.0229671 3600.01 3600.03
E.16 0.0997021 0.134098 0.166656 0.101325 NaN 90.3501 92.0658 89.0591 NaN 93.0473 88.0603 92.2492 NaN 91.9509 91.389 86.7497 NaN 91.1664 91.4286 90.6595 0.0200865 3600.01 3600.03
B.12 0.107883 0.0915866 0.105154 0.158449 295.753 16.7625 17.7258 16.1209 423.629 17.6606 17.3084 18.4061 417.296 16.9055 16.6671 16.1652 24.0294 17.8086 18.5696 17.829 0.0744655 3600.01 0.0325691
F.09 0.360586 0.330165 0.384676 0.336393 NaN 93.4226 107.7 96.8538 NaN 92.7524 109.974 90.5855 NaN 94.437 98.9827 103.349 NaN 89.2735 97.1575 91.9748 0.438784 3600.01 0.0678925
A.10 0.0178754 0.0143523 0.0162428 0.016307 7.47998 4.06191 4.08007 4.05937 7.45585 4.73146 4.59983 4.67096 22.6022 4.32116 4.27775 4.19632 4.61949 4.5015 4.49138 4.37653 0.00587462 12.8128 0.0264915
F.18 0.309572 0.311939 0.28507 0.350624 NaN 102.84 102.889 97.7929 NaN 108.378 99.4376 95.6169 NaN 99.4388 100.461 100.681 NaN 99.1359 99.8265 100.258 0.1094 3600.01 0.0717638
E.10 0.291534 0.243091 0.260609 0.277915 NaN 86.5442 89.1279 89.6058 NaN 85.3259 86.628 83.8183 NaN 90.4411 89.6641 81.3733 NaN 90.0885 92.6368 86.4786 0.0555746 3600.01 0.069537
A.06 0.0176122 0.0233751 0.016166 0.0252617 7.80522 4.17246 4.64178 4.61745 18.888 5.26642 4.82887 4.5776 18.5978 4.44609 4.53837 4.54544 4.57639 4.4643 4.42884 4.51895 0.0101226 4.3489 0.0274208
E.15 0.202089 0.222443 0.201804 0.201897 NaN 90.2298 87.1716 85.5366 NaN 90.4342 96.8488 88.393 NaN 87.2874 95.2694 86.9599 NaN 89.7718 90.8956 89.9959 0.0220363 3600.01 3600.03
E.07 0.0493182 0.0484496 0.0492074 0.0508741 291.06 85.0213 86.1377 84.8416 292.945 80.8392 88.5989 85.6444 288.924 85.8949 85.4694 88.7613 146.574 86.7236 86.338 84.2336 0.0219249 1.94631 30.88
