instance "si-noninduced-gss-20201208" "si-parity-gss-20201208" "si-moreoddthaneven-gss-20201208" "si-lessthreeodd-gss-20201208" "si-noninduced-minion-preprocess-gac-20201208" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201208" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201208" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201208" "si-moreoddthaneven-minion-preprocess-gac-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201208" "si-lessthreeodd-minion-preprocess-gac-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201208" "si-parity-minion-preprocess-gac-20201208" "si-parity-hybrid-preprocess-gac-comm-checker-20201208" "si-parity-hybrid-preprocess-gac-comm-propagate-20201208" "si-parity-hybrid-preprocess-gac-comm-rollback-20201208" "si-noninduced-pathlad-20201208" "si-noninduced-vf2-20201208" "si-noninduced-ri-20201208"
g10-g59-normed 0.352717 0.011487 0.309909 0.057743 808.597 2.77544 66.5677 2.82407 862.555 2.88267 75.3091 2.92439 36.4134 2.79573 6.95403 2.80994 2.61348 2.77287 2.55953 2.5293 0.490628 3600.01 4.48938
g10-g60-normed 0.0608952 0.41743 0.0605798 3600.37 69.9854 3.35851 49.6716 3.21137 74.0582 3.91745 58.032 3.68357 NaN NaN NaN NaN 33.6337 NaN 30.1159 3.8565 0.0311243 1999.69 0.659759
g10-g66-normed 0.0270051 0.0185939 0.0264346 0.0180867 9.71865 5.72362 5.07623 5.92284 10.6217 6.21575 5.8164 5.97371 9.9603 5.48273 5.5961 5.91452 6.2013 5.8358 5.55858 5.48261 0.00558202 0.521697 0.0407124
g10-g73-normed 0.0295022 0.0419486 0.0314179 3601.12 2313.07 4.22895 20.1382 4.18466 2389.46 148.464 19.841 9.068 NaN NaN NaN NaN 12.8203 NaN 31.9455 4.5074 0.0885452 3600.01 3600.03
g10-g82-normed 0.0366346 0.0368138 0.0373271 0.0561626 19.3447 9.23951 9.15366 8.96461 20.1132 9.44784 9.41496 9.34884 21.1518 9.25668 9.36745 9.14699 9.96127 9.55598 9.47603 9.32945 0.0117471 9.31747 0.064707
g10-g86-normed 0.00961981 0.00858322 0.012081 0.0108669 5.78653 4.74808 5.03159 4.83594 6.07877 5.24292 5.02534 4.91348 5.78585 4.95128 4.6572 4.84796 4.90312 4.8963 5.11321 5.60719 0.0126534 0.0167096 0.0366675
g10-g93-normed 1.90179 1.91703 1.89003 1.82354 308.927 315.219 324.396 315.174 315.85 2587.59 321.189 330.003 NaN NaN 312.436 494.128 314.609 NaN 325.301 311.883 6.98251 3600.06 0.493569
g11-g58-normed 0.00840002 0.00807453 0.00839667 0.0111857 NaN 2.54427 2.69893 2.75719 NaN 2.77532 2.93711 2.77857 519.028 2.5201 2.56602 2.57249 3.93331 2.81943 2.60945 2.85128 0.0125505 3600.01 0.292532
g11-g59-normed 0.0104561 0.00989556 0.0083618 0.0102026 1800.2 2.80696 2.55175 2.6484 1860.34 2.81783 2.86724 3.05026 225.601 2.79737 2.67468 2.94723 3.55083 2.77603 2.80099 2.59808 0.0103317 3600.01 0.154586
g11-g60-normed 3600.34 80.7433 3600.74 1351.81 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 88.23 NaN 3600.01 3600.03
g11-g66-normed 0.0136069 0.0134232 0.0191215 0.0190972 1862.64 5.21116 5.36216 5.20224 1911.42 5.43722 5.5372 5.52389 843.931 5.27536 5.23471 5.34133 19.9052 5.36216 5.3178 5.30333 2.82056 121.726 0.10577
g11-g73-normed 3600.59 7.75946 3600.61 164.595 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1946.39 13.995 NaN 3600.01 3600.03
g11-g82-normed 0.0312287 0.0296945 0.029226 0.0443989 2109.11 9.53956 9.70691 9.61834 2116.85 9.84631 9.77107 9.97933 1476.22 9.80503 9.93547 9.6034 166.593 10.028 10.0785 9.7104 27.9272 1792.85 0.16797
g11-g86-normed 0.00871002 0.00899072 0.00948015 0.00845234 48.839 4.65719 4.59796 4.54335 54.6171 5.12571 5.07929 5.23634 52.7714 4.85607 4.92278 4.69083 4.86076 4.96443 5.0933 4.82409 0.01077 0.0271606 0.0306802
g11-g93-normed 2.36068 2.39684 4.76567 2.51911 370.086 369.259 380.27 376.143 377.138 386.94 383.596 381.313 383.978 NaN 396.285 420.053 367.54 NaN 379.103 390.575 6.15092 0.380195 0.497417
g12-g58-normed 0.00714133 0.00738733 0.0075617 0.00685747 3.95423 2.66271 2.82361 2.92532 4.53095 2.97174 3.08973 2.99417 4.36802 2.83876 2.87542 2.86569 2.81419 2.98627 3.01069 2.91432 0.00449397 0.00773924 0.0267156
g12-g59-normed 0.00762949 0.0066185 0.00691099 0.0062996 4.41848 2.72268 2.77833 2.74779 4.58721 3.19283 3.14436 2.99946 4.64412 2.91088 2.86108 2.9244 2.92557 2.92369 2.93374 2.83616 0.00417171 0.00801521 0.0261192
g12-g60-normed 0.429593 0.0155843 0.424676 0.10505 1379.31 4.4106 64.4481 4.47262 1404.94 4.7343 70.0436 4.52417 645.534 4.25207 26.3512 4.1648 10.2953 4.28866 4.65804 3.93125 0.0999247 3600.01 3600.03
g12-g66-normed 0.00841312 0.00823984 0.0117278 0.00848469 86.9676 5.89045 6.0228 5.95266 90.8971 6.54838 6.16253 6.34382 86.881 5.94597 6.13232 6.40848 9.0171 6.34889 6.08914 6.18885 0.00739793 0.0294965 0.029935
g12-g73-normed 0.373234 0.0201427 0.397353 0.165648 2948.4 5.11838 167.992 5.44119 3313.78 5.67583 169.756 5.46903 1537.46 5.3521 64.6455 5.37398 10.097 5.49757 6.21233 4.88979 0.131324 3600.01 3600.03
g12-g82-normed 0.0180559 0.0182633 0.0182657 0.0176388 290.96 11.2286 11.8768 11.4833 281.255 12.1632 11.9086 11.7534 286.414 11.4364 11.8436 11.2276 20.0586 11.4462 11.6136 12.0871 0.0121538 0.0957615 0.0403825
g12-g86-normed 0.00839414 0.0114404 0.0093626 0.00844531 42.2821 5.55529 5.25939 5.11612 42.5627 5.89026 5.71931 5.69357 44.5728 5.95774 5.88844 5.7231 5.53692 5.75874 5.73783 5.81518 0.0126468 0.0131867 0.0328795
g12-g93-normed 1.93914 3.43361 12.9218 5.68527 504.466 502.196 817.165 491.202 NaN NaN 831.718 1217.87 NaN NaN 3538.26 642.193 496.639 NaN 964.589 488.349 6.95514 3600.06 3600.03
g13-g58-normed 0.00731022 0.00731601 0.00722876 0.0095113 2.96513 2.58801 2.63544 2.756 3.27864 2.87662 2.96715 2.99966 3.09127 2.73016 2.74403 2.75375 2.70102 3.13981 2.79037 2.69303 0.00396632 0.00550279 0.0283777
g13-g59-normed 0.00673035 0.00697347 0.00744253 0.0069467 2.99025 2.5288 2.56655 2.66126 3.29298 2.71366 3.02679 2.90927 3.17115 2.64655 2.5952 2.81563 2.69347 2.71405 2.62424 2.70233 0.00364868 0.00727677 0.0265912
g13-g60-normed 0.831673 0.266666 15.176 17.442 NaN 4.31155 167.475 4.45623 NaN 4.74172 191.336 4.62948 206.065 NaN 1726.78 NaN 4.01722 NaN 24.547 3.85887 0.0345075 3600.01 1.17549
g13-g66-normed 0.0119579 0.0120564 0.0117285 0.00882082 13.066 5.77289 5.82266 5.66614 14.4777 5.66616 6.03089 6.05066 13.5233 6.04708 6.02161 6.52748 6.26923 5.66097 5.90956 6.4836 0.00745124 0.0112156 0.0333619
g13-g73-normed 1.5336 0.0263867 1.56413 2.84053 4.83371 5.62708 203.582 5.75717 5.39357 5.95813 223.115 6.28563 1661.04 NaN NaN NaN 7.09393 NaN 8.91508 4.57362 0.0524198 3600.01 429.789
g13-g82-normed 0.0136993 0.0128242 0.0132487 0.0130093 32.5321 9.9927 9.95098 10.2357 34.4677 10.2502 10.3102 10.9708 33.0902 10.1182 10.1378 10.0114 13.2012 9.89534 10.3845 10.5162 0.0172744 0.0311435 0.0503932
g13-g86-normed 0.00907657 0.00896232 0.0089526 0.00903132 12.2643 4.79943 5.08758 4.81602 13.1522 5.34651 5.58061 5.52382 13.6747 5.08565 5.11125 5.00987 5.25619 5.16864 5.03239 5.1426 0.00974084 0.0127802 0.0362021
g13-g93-normed 34.5328 6.05342 34.4713 34.618 NaN 397.315 NaN 396.942 NaN 398.403 NaN 401.313 NaN 398.842 NaN 412.869 1826 402.93 NaN 393.96 601.106 442.801 438.582
g14-g58-normed 0.00793162 0.00689614 0.00730481 0.00852305 20.2526 2.67277 2.5134 2.66159 20.5734 2.79364 2.74867 2.69495 9.53371 2.65209 2.51914 2.54939 2.78261 2.59176 2.81226 2.81418 0.00451007 243.136 0.0254465
g14-g59-normed 0.00889949 0.00712918 0.00868305 0.00716678 9.00358 2.4836 2.58824 2.43741 9.38271 3.02834 2.72476 2.88484 8.72418 2.705 2.76946 2.6864 2.77379 2.72373 2.74855 2.61378 0.00404509 152.003 0.0251709
g14-g60-normed 0.012695 216.908 0.0144022 39.2372 NaN 3.4552 3.79482 3.47745 NaN 3.82807 4.0371 3.73392 NaN NaN 3396.29 NaN NaN NaN NaN 197.87 0.0218643 3600.01 10.8869
g14-g66-normed 0.0128594 0.00824746 0.0115419 0.00852818 35.0264 5.2105 5.35122 5.36649 35.2836 5.53867 5.75306 5.50669 34.9321 5.52418 5.47585 5.4611 7.36871 5.42805 5.56248 5.54435 0.00489196 0.00988636 0.0300265
g14-g73-normed 0.0197301 8.21304 0.0225775 9.66227 NaN 4.22848 4.84159 4.45178 NaN 4.5675 5.3044 4.66036 NaN NaN NaN NaN NaN NaN NaN 14.6834 0.102605 3600.01 3600.03
g14-g82-normed 0.0175157 0.0181963 0.0127578 0.018981 29.3444 9.5 9.4247 9.185 28.8357 10.2764 9.66869 9.71768 29.2472 9.70871 9.67602 9.97409 12.0212 9.96477 9.88183 9.86685 0.0160455 0.0381067 0.0477981
g14-g86-normed 0.00919237 0.0109361 0.00843464 0.012035 6.7848 4.81927 4.74572 4.72065 7.313 5.23867 5.19106 5.33845 7.133 5.26775 5.05875 5.30139 5.19236 5.10323 4.93932 4.94147 0.00965127 0.0154368 0.0336357
g14-g93-normed 32.2014 6.07469 31.8987 32.0094 NaN 373.282 NaN 379.129 NaN 393.682 NaN 383.991 NaN 401.221 NaN 392.165 NaN 385.968 NaN 364.168 701.08 3600.06 469.743
g15-g58-normed 0.00799291 0.00716865 0.0073968 0.00892831 3.2947 2.80844 2.72513 2.52284 3.35952 3.00832 2.96695 3.16924 3.16365 2.85843 2.71653 2.86723 2.63066 2.70239 2.83586 2.78477 0.00384858 0.00687879 0.0293052
g15-g59-normed 0.00671517 0.00804326 0.0089347 0.00898355 3.25327 2.58148 2.66883 2.78479 3.58121 2.98934 3.30331 3.10533 3.41672 2.74562 2.73524 2.94509 2.77277 2.76018 2.78869 2.79173 0.00432565 0.00590943 0.0267286
g15-g60-normed 1.26784 0.0389885 1.29303 2.46754 8.81945 4.77723 77.2011 4.73002 9.57486 5.02735 86.4187 4.95265 130.984 NaN 364.037 245.643 5.17435 NaN 4.63903 3.66341 0.151721 3600.01 21.1348
g15-g66-normed 0.0116772 0.00882967 0.00834655 0.00977224 13.615 5.61614 5.4446 5.65467 13.6715 6.00636 5.80527 6.22097 13.6669 5.66083 5.64152 5.60129 6.55161 6.16601 5.65889 5.62214 0.00646355 0.0109094 0.0361426
g15-g73-normed 2.24645 0.0197911 2.23611 1.12267 NaN 5.503 315.63 5.74144 NaN 5.94451 338.091 5.93124 278.306 NaN 856.225 213.352 6.4215 NaN 5.65282 4.72267 0.750802 3600.01 52.5963
g15-g82-normed 0.0182233 0.012882 0.0170902 0.0125516 37.3268 10.1561 10.6462 10.6076 36.6942 10.9964 10.5159 10.7656 37.0969 10.504 10.6273 10.4089 14.1642 10.6524 11.1544 10.6493 0.0116189 0.023337 0.0440415
g15-g86-normed 0.00904426 0.00852277 0.0102524 0.00870159 15.0663 4.85043 5.09372 5.058 15.3981 5.30388 5.29666 5.69013 15.3132 5.42188 5.25652 5.34869 5.27641 5.25537 5.11554 5.25296 0.0120437 0.013126 0.0316359
g15-g93-normed 31.2921 5.90649 31.2459 30.7958 NaN 421.532 NaN 424.962 NaN 423.711 NaN 427.809 NaN 435.338 NaN 424.529 NaN 420.849 NaN 415.006 2014.65 3600.1 435.967
g16-g58-normed 0.00617525 0.00753598 0.00776224 0.00721479 8.52451 2.76706 2.79049 2.72126 8.74171 2.92757 3.00656 3.07779 8.12938 3.06263 2.78802 2.8692 2.85664 2.72812 2.83051 3.05199 0.00406609 442.267 0.0283479
g16-g59-normed 0.00623812 0.00643967 0.00634559 0.00779815 6.40867 2.67505 2.71841 2.77654 7.0675 3.15204 3.12991 3.23556 6.48719 2.87762 2.88057 2.96387 2.85955 2.90809 2.76802 2.82254 0.00414722 95.1899 0.0321766
g16-g60-normed 3600.8 8.21558 3600.36 249.85 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1726.13 NaN 1233.66 12.6637 NaN 3600.01 3600.03
g16-g66-normed 0.0160305 0.0112061 0.0115908 0.0109355 33.77 5.86883 5.91733 5.81119 35.6996 6.2617 6.32559 6.24708 33.9371 6.16944 6.34687 6.01415 6.81785 6.33189 6.23543 5.94827 0.00528512 0.0210426 0.0334295
g16-g73-normed 3600.74 0.57757 3600.77 36.9834 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 463.852 NaN 168.215 5.81909 NaN 3600.01 3600.03
g16-g82-normed 0.0349097 0.0376298 0.037821 0.0283715 52.1092 11.0117 10.9766 11.6904 52.5542 11.6647 12.0581 11.3876 51.637 11.4502 11.3479 11.1501 13.8332 11.5057 11.6622 11.517 0.0166103 0.100395 0.0607223
g16-g86-normed 0.00879022 0.00879205 0.00851509 0.00872231 9.33306 5.39654 5.32057 5.30011 9.8873 5.71308 5.96367 6.15827 9.30381 5.71773 5.38948 5.57498 5.67299 5.71985 5.63591 5.82811 0.0111968 0.0134619 0.0373461
g16-g93-normed 3600.63 2249.28 3600.56 3600.56 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2617.14 NaN 3600.07 3600.03
g17-g58-normed 5.89867 0.0132299 5.9454 0.394104 NaN 7.7212 1100.69 8.29054 NaN 8.1962 1235.37 8.67701 836.335 8.33059 35.1042 8.68905 3.10162 6.08412 2.85755 2.76899 8.49435 3600.01 175.719
g17-g59-normed 0.731965 0.012709 0.732703 0.143744 NaN 3.23637 140.918 3.59941 NaN 3.53489 161.685 3.50953 238.044 3.34065 17.9497 3.41353 2.92266 3.21992 2.74646 2.66319 1.71504 3600.01 33.7718
g17-g60-normed 3600.44 3600.27 3600.96 3600.74 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3600.01 3600.02
g17-g66-normed 0.305392 0.0260158 0.237479 0.191073 308.317 5.40369 80.5897 5.49377 296.054 6.04477 86.7037 5.76088 114.818 5.6533 67.4672 5.72511 7.33804 5.92218 7.94436 5.6851 97.7223 3600.01 0.607852
g17-g73-normed 26.8343 3600.91 83.6649 3600.85 NaN 27.2225 NaN 28.2481 NaN 33.7627 NaN 30.9908 NaN NaN NaN NaN NaN NaN NaN NaN 725.871 3600.01 3600.03
g17-g82-normed 0.136671 0.0477259 0.113189 0.127823 126.709 9.78742 117.432 9.61513 130.463 10.3384 117.19 10.5776 118.487 10.1689 106.616 9.97797 12.7338 9.98893 12.3745 10.5832 95.5866 3600.01 0.311889
g17-g86-normed 0.00890885 0.00872798 0.00902056 0.0118962 41.78 5.026 4.89247 5.04028 43.173 5.27705 5.63838 5.51128 44.5091 4.9334 5.17093 5.22487 4.98303 5.20271 5.21834 4.97426 0.0125734 0.843968 0.0318741
g17-g93-normed 1.95282 1.99662 3.58352 2.03634 369.518 382.03 369.312 372.863 367.113 365.368 389.506 374.822 361.221 NaN 373.631 536.449 366.669 NaN 384.037 364.404 7.71655 0.356921 0.512058
g18-g58-normed 0.00668207 0.00720787 0.007101 0.00652924 900.33 2.97489 2.81091 2.60673 903.959 2.87592 2.8095 3.0552 124.258 2.74609 2.71283 2.78668 2.74004 2.84573 2.88404 2.74504 0.00398627 2213.23 134.412
g18-g59-normed 0.00632701 0.00659014 0.00623845 0.00606015 247.705 2.69531 2.72978 2.65558 244.29 2.89957 2.93757 2.83798 47.8134 2.8918 2.73478 2.66711 2.7127 2.82056 2.6354 2.70794 0.00497294 1077.83 29.0676
g18-g60-normed 3600.35 3600.52 3600.79 3600.72 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3600.01 3600.03
g18-g66-normed 0.181574 0.0260557 0.183192 0.171755 142.074 5.6254 117.207 5.72411 141.661 5.87666 120.163 5.91319 101.223 5.82744 95.8716 5.7371 9.13801 5.82599 9.64272 5.59454 173.573 510.729 0.628247
g18-g73-normed 3600.51 3600.7 3601.18 3600.68 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3600.01 3600.03
g18-g82-normed 0.141738 0.0473352 0.124984 0.100312 186.364 10.0306 160.091 10.2001 192.07 10.6641 159.484 10.8419 164.926 10.4198 149.529 10.0853 15.7135 10.7334 13.7001 10.3525 199.422 3600.01 0.283053
g18-g86-normed 0.0119022 0.0106739 0.00861589 0.00957964 52.0481 4.97697 4.86159 4.75202 53.0836 5.41486 5.48044 5.66925 54.2082 5.28102 5.07162 5.38683 5.20679 5.31241 5.41449 5.30576 0.0127367 0.0135699 0.0377097
g18-g93-normed 1.9802 1.97667 1.98434 2.04353 384.684 391.913 395.872 399.067 402.804 386.712 399.918 389.06 388.647 NaN 407.98 816.754 392.804 NaN 389.963 386.959 9.58293 0.344494 0.556892
g19-g58-normed 0.0104586 0.0121046 0.00898821 0.012063 NaN 2.86482 2.87084 2.84982 NaN 3.29075 3.1196 3.09577 2075.88 3.19304 3.00693 3.05301 3.03395 2.80732 3.06746 2.85473 0.00877382 3600.01 0.89149
g19-g59-normed 0.00871597 0.00856104 0.00887095 0.0116104 3202.46 2.68977 2.92851 2.6203 3250.55 2.97638 2.95714 3.14168 938.262 2.98886 2.99397 2.94491 2.75482 2.76345 2.86229 2.89061 0.00706345 3600.01 0.506613
g19-g60-normed 3600.5 3600.18 3600.52 3600.46 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3600.01 3600.03
g19-g66-normed 0.0149521 0.0143844 0.0194143 0.0147119 NaN 5.84486 5.77359 5.73397 NaN 6.07888 6.09575 6.15204 NaN 6.06405 5.90105 6.08314 10.6772 5.99827 6.13872 6.05648 11.1025 3600.01 0.211909
g19-g73-normed 3600.63 503.866 3600.69 2870.78 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 568.578 NaN 3600.01 3600.03
g19-g82-normed 0.0311095 0.0312427 0.0319923 0.0312252 NaN 10.509 10.7471 10.8142 NaN 11.1985 11.1966 10.9999 NaN 11.3146 11.2117 11.0984 19.7983 11.1289 11.3737 11.443 45.1207 3600.01 0.225779
g19-g86-normed 0.00900156 0.0115543 0.00938381 0.00898814 57.0303 5.40847 5.28032 5.35799 59.894 5.7156 5.82269 5.88272 56.428 5.70025 5.32414 5.45264 5.53127 6.0847 5.52461 5.65945 0.0100915 0.0153435 0.0365594
g19-g93-normed 1.90985 1.94043 1.94078 1.92586 448.563 443.942 456.421 442.962 470.669 446.325 459.024 456.175 458.495 NaN 464.482 575.439 451.096 NaN 475.535 447.977 11.2641 3600.06 0.580032
g2-g58-normed 0.0104218 0.006996 0.00858135 0.00760659 2.11391 2.13203 2.2415 2.29029 2.32117 2.42219 2.41056 2.3489 2.20942 2.20207 2.28301 2.31297 2.20735 15.8411 2.17868 2.33529 0.00532759 0.00547389 0.026203
g2-g59-normed 0.00698065 0.00674572 0.00697303 0.00712266 1.96017 2.02045 1.99231 1.94346 2.0702 2.22994 2.13908 2.16513 1.99304 2.17473 2.02679 2.10491 2.09461 342.584 2.09373 2.07944 0.00611144 0.00653716 0.0266975
g2-g60-normed 0.00920657 0.00906278 0.00971042 0.00941956 2.95355 2.86635 2.92745 2.93688 3.02166 3.04081 3.20225 2.96846 2.93581 28.6802 3.04523 3.00293 2.96948 NaN 2.91607 2.99825 0.00786456 0.00564157 0.0291653
g2-g66-normed 0.0147396 0.0187551 0.0199296 0.0200876 4.24993 4.38614 4.3712 4.24104 4.44268 4.68097 4.47779 4.55506 4.34594 4.71627 4.50691 4.53342 4.41868 6.77569 4.43143 4.27427 0.0223663 0.0108933 0.033571
g2-g73-normed 0.0135753 0.0140622 0.0143783 0.014406 3.34068 3.62762 3.55454 3.61476 3.65849 3.87804 3.90744 4.12973 3.61703 6.9896 3.60226 3.59043 3.65401 NaN 3.74887 3.65722 0.0168748 0.00807224 0.0305469
g2-g82-normed 0.0477969 0.0314204 0.0341743 0.0324474 7.66752 8.10462 7.69713 7.95015 7.76722 8.052 8.05418 7.89892 7.77626 9.55668 7.80927 7.84364 7.83787 9.6198 7.8887 7.85001 0.0950551 0.022659 0.0475114
g2-g86-normed 0.0232257 0.0294694 0.0226566 0.298157 3.5444 3.68713 3.8058 3.62936 3.91437 3.88136 3.98106 3.99742 6.85349 5.39043 19.0089 13.5469 3.90204 3.79652 3.87555 3.83928 0.12703 0.0278691 0.0339942
g2-g93-normed 1.9715 1.94526 1.93005 1.99413 208.277 207.714 213.941 207.369 210.788 209.534 210.938 212.787 208.105 NaN 207.08 217.941 209.037 210.425 211.004 210.016 1.02 0.349495 0.479893
g20-g58-normed 0.00720735 0.00837106 0.00675078 0.00649343 6.24119 4.009 4.27932 4.05699 6.65115 4.51534 4.79281 4.43549 6.62169 4.2823 4.36335 4.26491 4.53564 4.26203 4.29401 4.1911 0.00406273 0.00618997 0.0270154
g20-g59-normed 0.00679642 0.00692928 0.00665843 0.00883803 6.31097 4.23813 4.1333 4.32097 6.83973 4.7376 4.55315 4.43214 6.9136 4.23355 4.32652 4.37358 4.39866 4.51745 4.52832 4.41221 0.00470483 0.00805338 0.0282188
g20-g60-normed 0.00753334 0.0094903 0.0073968 0.00707955 NaN 5.75319 5.8851 5.68292 NaN 6.17279 6.231 5.9501 797.633 5.96006 6.02788 5.99696 9.22695 6.00741 5.93597 5.94385 0.00525968 3600.01 239.218
g20-g66-normed 0.00952387 0.0138659 0.00893057 0.01266 54.5085 9.9632 9.87196 10.4468 52.709 10.7841 10.935 10.8879 53.0326 10.552 10.4649 10.5495 12.9438 11.0402 10.7263 11.0723 0.00752212 0.01214 0.038528
g20-g73-normed 0.00782443 0.00766158 0.00850567 0.00972031 NaN 7.55949 7.77273 7.83441 NaN 8.22227 8.21709 8.24192 1641.04 7.86037 8.26824 8.2692 12.54 8.20974 8.13372 7.93826 0.00657023 3600.01 356.21
g20-g82-normed 0.0182057 0.0177577 0.0136348 0.0135833 107.394 18.5127 18.2754 18.6671 105.483 20.8076 18.8557 19.6705 103.953 18.9328 19.8961 19.6962 29.452 20.2216 19.1683 19.7211 0.0161948 0.0236481 0.0496757
g20-g86-normed 0.00938495 0.0114051 0.0095277 0.00934429 32.6062 9.8529 9.48261 9.43028 34.4102 10.2857 9.92206 9.69443 33.5844 9.71309 9.60928 9.5544 10.6982 10.2207 10.3867 10.2223 0.0128162 0.0137841 0.0358019
g20-g93-normed 60.3201 9.73788 60.3396 59.9341 NaN 1349.67 NaN 1353.02 NaN 1342.99 NaN 1317.56 NaN 1366.19 NaN 1342.75 NaN 1340.99 NaN 1396.85 NaN 447.792 456.591
g21-g58-normed 0.00954948 0.0102435 0.00746579 0.00713594 11.471 7.28104 6.67256 6.87592 11.7081 7.14581 7.02136 7.38164 12.0236 7.00474 7.10159 6.86803 7.27641 6.92117 7.06346 6.94632 0.00635079 0.00835268 0.0323902
g21-g59-normed 0.010073 0.00807291 0.00782946 0.00782955 11.6849 6.67679 6.5988 6.86289 11.5449 6.96225 7.13083 7.16187 11.6676 7.03562 7.10919 7.06075 7.11799 6.96509 6.84589 6.87416 0.00471019 0.00637474 0.0280881
g21-g60-normed 0.00801896 0.0110143 0.00812948 0.00793799 23.3288 9.79088 9.98305 9.82884 23.785 10.2847 10.1249 10.0293 23.2794 10.5461 10.1126 9.9679 12.2852 10.2517 10.1255 10.257 0.00573107 0.00691367 0.0298142
g21-g66-normed 0.0102726 0.0105126 0.0134746 0.0110196 73.1854 17.2627 18.4351 17.208 78.6866 17.242 16.8257 17.2459 72.6457 17.7613 18.6747 17.1918 28.2006 18.7797 17.6297 18.8086 0.0100334 0.0138061 0.0387247
g21-g73-normed 0.012033 0.0090933 0.00865772 0.0127579 62.7919 14.5267 13.9586 14.1606 63.0697 14.422 14.8016 14.0982 63.7958 14.2942 14.723 15.0166 19.6867 15.2691 14.2569 14.8184 0.00714134 0.0098645 0.0301396
g21-g82-normed 0.0200578 0.0144168 0.0209355 0.0143096 256.46 35.5929 36.3256 35.4955 254.271 34.812 35.7242 35.0566 248.68 34.9431 35.9806 35.2465 73.1826 37.2662 35.1484 35.0628 0.0136023 0.0247656 0.0409759
g21-g86-normed 0.0114938 0.0135609 0.0108581 0.0122823 138.185 17.1986 17.5442 17.6046 131.938 17.5323 17.6955 18.5596 134.353 17.4765 17.7603 17.4865 19.2724 18.8639 19.9117 19.352 0.0151579 0.0150779 0.0392796
g21-g93-normed 10.024 3.94118 10.0123 9.9391 NaN 2999.87 NaN 3137.33 NaN 3133.31 NaN 3115.14 NaN 3116.95 NaN 2988.45 NaN 3087.84 NaN 3009.11 0.593868 1.40075 444.438
g22-g58-normed 0.00796351 0.00758851 0.00786826 0.00800129 287.537 2.9228 2.90099 2.91052 289.258 3.30288 3.29892 3.12038 81.7502 2.99028 3.11717 3.09106 3.07405 2.92322 3.15786 3.07411 0.00413852 3192.8 0.0265909
g22-g59-normed 0.00600869 0.00744074 0.00615042 0.00630813 123.634 3.01155 2.88048 2.92906 126.835 3.57867 3.35872 3.42594 56.7988 3.01359 3.11827 3.0292 3.0911 3.06094 2.83096 2.90201 0.00371467 2996.84 0.0278468
g22-g60-normed 3600.61 71.0354 3600.57 28.1455 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2127.68 NaN NaN NaN NaN 78.7792 NaN 3600.01 3600.03
g22-g66-normed 0.0146293 0.019517 0.0194329 0.0202112 1778.06 6.38448 6.31386 6.63071 1807.2 6.7162 6.57576 6.85078 1886.37 6.42208 6.28824 6.60912 6.72296 6.5133 6.42676 6.50347 0.00744668 0.0948676 0.0403954
g22-g73-normed 3600.92 0.0596978 3600.88 11.0444 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 19.0188 5.24506 NaN 3600.01 3600.03
g22-g82-normed 0.0292831 0.0293252 0.0435427 0.0418314 800.619 12.1008 12.366 11.6109 773.955 12.6208 12.7547 12.9085 741.343 12.2543 11.9072 12.2987 13.6179 12.1123 11.8611 12.2604 0.0122103 0.847259 0.0590186
g22-g86-normed 0.0085397 0.0109252 0.0116706 0.00855413 8.6603 5.78114 5.71679 5.55443 9.64864 6.56566 6.20322 6.20156 9.27017 6.02648 5.9753 5.99069 6.0758 6.52523 6.0849 6.01503 0.0101698 0.0139886 0.038254
g22-g93-normed 46.1577 7.69805 46.1869 46.2672 NaN 547.008 NaN 563.923 NaN 574.263 NaN 570.312 NaN 566.776 NaN 556.036 NaN 559.7 2790.53 538.915 853.582 3600.06 440.342
