instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si2_m4Dr2_m1296.09 6 76 30 26 30 27
si2_m4Dr2_m1296.02 6 400 668 40 668 46
si2_m4Dr2_m1296.07 6 75 9 9 9 9
si2_m4Dr2_m1296.00 6 69 28 28 28 28
si2_m4Dr2_m1296.06 6 99 25 25 25 25
si2_m4Dr2_m1296.08 6 78 30 30 30 30
si2_m4Dr2_m1296.01 6 127 82 48 82 36
si2_m4Dr2_m1296.03 6 75 22 22 22 22
si2_m4Dr2_m1296.04 6 78 30 30 30 30
si4_b06m_m800.08 4 44 21 21 21 21
si4_b06m_m800.00 4 44 11 11 11 11
si4_b06m_m800.06 4 47 18 18 18 18
si4_b06m_m800.05 4 44 14 14 14 14
si4_b06m_m800.04 4 74 18 18 18 18
si4_b06m_m800.09 4 66 23 23 23 23
si4_b06m_m800.01 4 71 12 12 12 12
si4_b06m_m800.07 4 43 17 17 17 17
si4_b06m_m800.03 4 41 20 20 20 20
si4_b06m_m800.02 4 74 11 11 11 11
si6_m4Dr2_m625.08 6 49 10 10 10 10
si6_m4Dr2_m625.09 6 50 12 12 12 12
si6_m4Dr2_m625.05 6 51 4 4 4 4
si6_m4Dr2_m625.01 6 65 11 11 11 11
si6_m4Dr2_m625.06 6 46 10 10 10 10
si6_m4Dr2_m625.00 6 43 20 20 20 20
si6_m4Dr2_m625.03 6 47 14 14 14 14
si6_m4Dr2_m625.02 6 51 5 5 5 5
si6_m4Dr2_m625.07 6 75 5 5 5 5
si6_m4Dr2_m625.04 6 50 2 2 2 2
si2_m4D_m1296.01 5 361 447 434 447 405
si2_m4D_m1296.08 5 67 3 3 3 3
si2_m4D_m1296.06 5 251 2387 882 2387 812
si2_m4D_m1296.05 5 96 2 2 2 2
si2_m4D_m1296.09 5 69 5 4 5 4
si2_m4D_m1296.03 5 165 284 265 284 267
si2_m4D_m1296.07 5 69 4 5 4 4
si2_m4D_m1296.02 5 109 2 2 2 2
si2_m4D_m1296.04 5 74 46 31 46 19
si2_m4D_m1296.00 5 85 4 5 4 4
si4_b03_m800.05 3 55 3 3 3 3
si4_b03_m800.00 3 54 3 3 3 3
si4_b03_m800.08 3 98 3 3 3 3
si4_b03_m800.09 3 95 3 3 3 3
si4_b03_m800.03 3 53 3 3 3 3
si4_b03_m800.02 3 96 3 3 3 3
si4_b03_m800.04 3 80 3 3 3 3
si4_b03_m800.01 3 93 3 3 3 3
si4_b03_m800.06 3 56 3 3 3 3
si4_b03_m800.07 3 67 3 3 3 3
si6_m4D_m1296.02 5 255 42 41 42 42
si6_m4D_m1296.07 5 984 855 463 855 312
si6_m4D_m1296.05 5 239 53 51 53 53
si6_m4D_m1296.09 5 339 549 215 549 214
si6_m4D_m1296.00 5 553 1287 223 1287 213
si6_m4D_m1296.08 5 280 38 39 38 38
si6_m4D_m1296.04 5 233 34 34 34 34
si6_m4D_m1296.06 5 1297 360 223 360 233
si6_m4D_m1296.01 5 1400 1640 150 1640 368
si6_m4D_m1296.03 5 13728 4259 NaN 4259 NaN
si6_r001_m200.05 7 6 33 21 33 24
