instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
all-meshes-CVIU11-pattern2-target54 13 2 2 865 2 33
all-meshes-CVIU11-pattern2-target55 13 344 307 2659 270 79
all-meshes-CVIU11-pattern2-target56 13 0 1 352 1 41
all-meshes-CVIU11-pattern2-target57 13 454 406 5085 380 80
all-meshes-CVIU11-pattern2-target58 13 0 0 150 0 18
all-meshes-CVIU11-pattern2-target59 13 1 1 585 1 43
all-meshes-CVIU11-pattern2-target6 13 6 4 1796 5 52
all-meshes-CVIU11-pattern2-target60 13 2 1 669 2 46
all-meshes-CVIU11-pattern2-target61 13 1 1 612 1 56
all-meshes-CVIU11-pattern2-target62 13 1 1 515 1 28
all-meshes-CVIU11-pattern2-target63 13 1 1 592 1 27
all-meshes-CVIU11-pattern2-target64 13 1 1 460 0 28
all-meshes-CVIU11-pattern2-target65 13 18 22 9535 16 156
all-meshes-CVIU11-pattern2-target66 13 211 164 4379 163 132
all-meshes-CVIU11-pattern2-target67 13 0 0 114 0 22
all-meshes-CVIU11-pattern2-target68 13 756 702 6932 744 158
all-meshes-CVIU11-pattern2-target69 13 0 0 342 1 24
all-meshes-CVIU11-pattern2-target7 13 0 1 264 0 19
all-meshes-CVIU11-pattern2-target70 13 868 787 7033 753 110
all-meshes-CVIU11-pattern2-target72 13 99 94 1166 95 53
all-meshes-CVIU11-pattern2-target73 13 2 2 851 2 60
all-meshes-CVIU11-pattern2-target74 13 5 6 2247 6 83
all-meshes-CVIU11-pattern2-target76 13 11 12 5429 10 112
all-meshes-CVIU11-pattern2-target77 13 7 4 2098 4 64
all-meshes-CVIU11-pattern2-target78 13 1 1 644 2 39
all-meshes-CVIU11-pattern2-target79 13 944 789 7150 811 182
all-meshes-CVIU11-pattern2-target8 13 0 1 227 0 17
all-meshes-CVIU11-pattern2-target80 13 9 9 4150 10 91
all-meshes-CVIU11-pattern2-target81 13 1 1 458 0 42
all-meshes-CVIU11-pattern2-target82 13 3 2 1173 3 65
all-meshes-CVIU11-pattern2-target83 13 14 14 7437 19 126
all-meshes-CVIU11-pattern2-target84 13 3 3 1632 3 51
all-meshes-CVIU11-pattern2-target85 13 5 7 2395 6 63
all-meshes-CVIU11-pattern2-target86 13 20 25 10309 24 159
all-meshes-CVIU11-pattern2-target87 13 16 15 6744 16 99
all-meshes-CVIU11-pattern2-target88 13 1 1 355 1 19
all-meshes-CVIU11-pattern2-target89 13 6 5 1883 5 53
all-meshes-CVIU11-pattern2-target9 13 1 1 367 1 36
all-meshes-CVIU11-pattern2-target90 13 16 15 6199 15 144
all-meshes-CVIU11-pattern2-target91 13 2 1 707 2 49
all-meshes-CVIU11-pattern2-target92 13 0 0 199 0 24
all-meshes-CVIU11-pattern2-target93 13 747 622 8914 582 106
all-meshes-CVIU11-pattern2-target94 13 5 6 2119 5 77
all-meshes-CVIU11-pattern2-target96 13 2 2 794 2 53
all-meshes-CVIU11-pattern2-target97 13 9 9 4621 11 130
all-meshes-CVIU11-pattern2-target98 13 14 13 7038 13 75
all-meshes-CVIU11-pattern2-target99 13 744 749 6782 677 195
all-meshes-CVIU11-pattern3-target1 13 5902 46942 405 25173 42
all-meshes-CVIU11-pattern3-target10 13 83 68 644 48 32
all-meshes-CVIU11-pattern3-target100 13 2206 2157 6978 2157 135
all-meshes-CVIU11-pattern3-target103 13 1206 1129 4695 1136 158
all-meshes-CVIU11-pattern3-target104 13 5 5 92 5 8
all-meshes-CVIU11-pattern3-target106 13 1 1 412 1 43
all-meshes-CVIU11-pattern3-target107 13 2140 2907 5356 2227 119
all-meshes-CVIU11-pattern3-target108 13 120 85 1060 77 32
all-meshes-CVIU11-pattern3-target109 13 49 302 330 66 37
all-meshes-CVIU11-pattern3-target110 13 35 34 365 34 33
all-meshes-CVIU11-pattern3-target111 13 321 464 823 313 59
all-meshes-CVIU11-pattern3-target112 13 910 859 4073 831 114
all-meshes-CVIU11-pattern3-target113 13 109 65 762 63 43
all-meshes-CVIU11-pattern3-target114 13 48 28 499 25 28
all-meshes-CVIU11-pattern3-target115 13 93 168 185 86 19
all-meshes-CVIU11-pattern3-target116 13 0 1 191 1 26
all-meshes-CVIU11-pattern3-target117 13 34 32 151 58 25
all-meshes-CVIU11-pattern3-target118 13 157 246 104 188 15
all-meshes-CVIU11-pattern3-target119 13 265 381 598 237 34
all-meshes-CVIU11-pattern3-target12 13 25 48 91 26 18
all-meshes-CVIU11-pattern3-target120 13 132 282 373 109 50
all-meshes-CVIU11-pattern3-target121 13 32 86 95 33 10
all-meshes-CVIU11-pattern3-target122 13 82 152 187 134 34
all-meshes-CVIU11-pattern3-target123 13 72 155 251 107 23
all-meshes-CVIU11-pattern3-target124 13 13 9 3812 9 66
all-meshes-CVIU11-pattern3-target125 13 42 47 824 46 35
all-meshes-CVIU11-pattern3-target126 13 2078 2085 6342 2059 127
all-meshes-CVIU11-pattern3-target127 13 171 228 331 134 29
all-meshes-CVIU11-pattern3-target128 13 0 0 98 1 12
all-meshes-CVIU11-pattern3-target129 13 19 14 5567 14 162
all-meshes-CVIU11-pattern3-target13 13 276 446 724 274 51
all-meshes-CVIU11-pattern3-target130 13 6 7 1984 5 94
all-meshes-CVIU11-pattern3-target131 13 115 80 837 78 67
all-meshes-CVIU11-pattern3-target132 13 385 331 3912 323 108
all-meshes-CVIU11-pattern3-target133 13 5 5 1950 7 104
all-meshes-CVIU11-pattern3-target134 13 27 20 8355 24 139
all-meshes-CVIU11-pattern3-target135 13 0 1 144 0 20
all-meshes-CVIU11-pattern3-target136 13 14 9 3671 9 114
all-meshes-CVIU11-pattern3-target137 13 275 561 846 216 43
all-meshes-CVIU11-pattern3-target138 13 151 171 868 124 49
all-meshes-CVIU11-pattern3-target139 13 3270 4920 7527 3240 165
all-meshes-CVIU11-pattern3-target14 13 1 1 283 1 36
all-meshes-CVIU11-pattern3-target140 13 252 465 720 370 53
all-meshes-CVIU11-pattern3-target141 13 290 538 817 267 80
all-meshes-CVIU11-pattern3-target143 13 7 5 113 8 21
all-meshes-CVIU11-pattern3-target144 13 101 333 339 102 27
all-meshes-CVIU11-pattern3-target145 13 32 48 407 29 60
all-meshes-CVIU11-pattern3-target146 13 108 143 779 117 40
all-meshes-CVIU11-pattern3-target147 13 62 57 1007 70 50
all-meshes-CVIU11-pattern3-target148 13 206 179 1870 215 62
all-meshes-CVIU11-pattern3-target149 13 805 2083 777 1040 42
all-meshes-CVIU11-pattern3-target15 13 4 3 1103 4 45
all-meshes-CVIU11-pattern3-target150 13 1040 914 4721 915 102
all-meshes-CVIU11-pattern3-target151 13 21 19 376 27 23
all-meshes-CVIU11-pattern3-target152 13 1020 890 4724 942 134
all-meshes-CVIU11-pattern3-target153 13 6 4 74 6 9
all-meshes-CVIU11-pattern3-target154 13 76 71 695 85 67
all-meshes-CVIU11-pattern3-target155 13 1051 10781 1769 2466 98
all-meshes-CVIU11-pattern3-target156 13 812 2879 3499 825 121
all-meshes-CVIU11-pattern3-target157 13 108900 60086 1008 29244 91
all-meshes-CVIU11-pattern3-target158 13 196919 153720 4489 21037 94
all-meshes-CVIU11-pattern3-target159 13 23 68 96 41 15
all-meshes-CVIU11-pattern3-target16 13 3 4 1055 4 49
all-meshes-CVIU11-pattern3-target160 13 175 399 554 184 34
all-meshes-CVIU11-pattern3-target161 13 254 645 1049 231 70
all-meshes-CVIU11-pattern3-target162 13 3204 179661 2312 61943 141
all-meshes-CVIU11-pattern3-target163 13 11206 3552 1286 2109 65
all-meshes-CVIU11-pattern3-target165 13 9 13 225 8 26
all-meshes-CVIU11-pattern3-target166 13 24 42 90 45 13
all-meshes-CVIU11-pattern3-target168 13 142 512 664 159 29
all-meshes-CVIU11-pattern3-target169 13 1018 3367 4049 915 102
all-meshes-CVIU11-pattern3-target17 13 3 3 994 3 44
all-meshes-CVIU11-pattern3-target170 13 145 311 380 96 40
all-meshes-CVIU11-pattern3-target171 13 42 38 414 63 42
all-meshes-CVIU11-pattern3-target172 13 90 90 389 89 23
all-meshes-CVIU11-pattern3-target173 13 136793 400558 582 213931 35
all-meshes-CVIU11-pattern3-target174 13 107 191 326 84 33
all-meshes-CVIU11-pattern3-target175 13 30 61 84 59 8
all-meshes-CVIU11-pattern3-target176 13 25 72 76 48 10
all-meshes-CVIU11-pattern3-target177 13 124 185 275 100 29
all-meshes-CVIU11-pattern3-target178 13 38 37 440 24 30
all-meshes-CVIU11-pattern3-target179 13 52 93 165 52 16
all-meshes-CVIU11-pattern3-target18 13 3 3 975 4 53
all-meshes-CVIU11-pattern3-target181 13 4237 46995 212 28908 18
all-meshes-CVIU11-pattern3-target182 13 131 418 485 166 43
all-meshes-CVIU11-pattern3-target184 13 44 165 171 81 13
all-meshes-CVIU11-pattern3-target185 13 1660 1646 5402 1643 170
all-meshes-CVIU11-pattern3-target186 13 4185 15534 7531 4948 199
all-meshes-CVIU11-pattern3-target187 13 1142 1111 4574 1123 114
all-meshes-CVIU11-pattern3-target188 13 2810 5881 1218 2629 52
all-meshes-CVIU11-pattern3-target189 13 491 564 2147 507 81
all-meshes-CVIU11-pattern3-target19 13 4 3 930 3 74
all-meshes-CVIU11-pattern3-target190 13 59 59 386 60 22
all-meshes-CVIU11-pattern3-target191 13 11954 238954 6676 14950 130
all-meshes-CVIU11-pattern3-target192 13 461 846 863 546 77
all-meshes-CVIU11-pattern3-target193 13 7 5 1900 5 102
all-meshes-CVIU11-pattern3-target194 13 458 653 1073 392 95
all-meshes-CVIU11-pattern3-target195 13 634 673 2635 651 84
all-meshes-CVIU11-pattern3-target196 13 8 13 154 12 13
all-meshes-CVIU11-pattern3-target197 13 2 2 441 2 26
all-meshes-CVIU11-pattern3-target198 13 0 1 104 0 12
all-meshes-CVIU11-pattern3-target199 13 97 75 175 75 19
all-meshes-CVIU11-pattern3-target2 13 5437 79348 6844 7297 153
all-meshes-CVIU11-pattern3-target20 13 5 3 1144 4 86
all-meshes-CVIU11-pattern3-target200 13 113 225 262 73 18
all-meshes-CVIU11-pattern3-target201 13 260 215 2713 190 132
all-meshes-CVIU11-pattern3-target202 13 25 22 497 20 37
all-meshes-CVIU11-pattern3-target203 13 6 3 1301 4 78
all-meshes-CVIU11-pattern3-target204 13 12 11 4191 11 132
all-meshes-CVIU11-pattern3-target205 13 69 107 407 65 24
all-meshes-CVIU11-pattern3-target206 13 1391 9149 7934 1139 120
all-meshes-CVIU11-pattern3-target207 13 183 617 199 328 39
all-meshes-CVIU11-pattern3-target208 13 458 462 2144 443 99
all-meshes-CVIU11-pattern3-target209 13 4 3 1255 5 111
all-meshes-CVIU11-pattern3-target21 13 181 155 857 188 69
all-meshes-CVIU11-pattern3-target210 13 175 192 1225 175 96
all-meshes-CVIU11-pattern3-target211 13 287 4271 433 2484 55
all-meshes-CVIU11-pattern3-target212 13 565 3330 1018 2081 96
all-meshes-CVIU11-pattern3-target213 13 587 7687 122 6154 18
all-meshes-CVIU11-pattern3-target214 13 29 78 63 56 15
all-meshes-CVIU11-pattern3-target215 13 4 4 1562 5 95
all-meshes-CVIU11-pattern3-target216 13 1124 2451 314 1125 43
all-meshes-CVIU11-pattern3-target217 13 631 1081 1816 611 65
all-meshes-CVIU11-pattern3-target218 13 489 838 1621 489 97
all-meshes-CVIU11-pattern3-target219 13 13 13 5867 12 144
all-meshes-CVIU11-pattern3-target22 13 3 3 1169 4 50
all-meshes-CVIU11-pattern3-target220 13 4 7 87 6 10
all-meshes-CVIU11-pattern3-target221 13 468 6496 1080 3357 84
all-meshes-CVIU11-pattern3-target222 13 1 1 373 1 22
all-meshes-CVIU11-pattern3-target223 13 6 5 1883 5 124
all-meshes-CVIU11-pattern3-target224 13 1187 3507 533 1459 39
all-meshes-CVIU11-pattern3-target225 13 11 8 3181 7 106
all-meshes-CVIU11-pattern3-target226 13 0 0 101 0 13
all-meshes-CVIU11-pattern3-target227 13 1091 2628 2741 1485 103
all-meshes-CVIU11-pattern3-target228 13 13 13 5095 12 130
all-meshes-CVIU11-pattern3-target229 13 0 1 209 0 14
all-meshes-CVIU11-pattern3-target23 13 5 4 1084 3 65
all-meshes-CVIU11-pattern3-target230 13 360 1126 1705 345 77
all-meshes-CVIU11-pattern3-target231 13 2807 6328 4210 3224 197
all-meshes-CVIU11-pattern3-target232 13 2588 1327 582 735 64
all-meshes-CVIU11-pattern3-target233 13 543 820 577 529 38
all-meshes-CVIU11-pattern3-target234 13 22 26 144 30 21
all-meshes-CVIU11-pattern3-target235 13 2 2 478 2 24
all-meshes-CVIU11-pattern3-target237 13 81 176 285 94 21
all-meshes-CVIU11-pattern3-target238 13 9561 28027 3189 5285 117
all-meshes-CVIU11-pattern3-target24 13 3 3 1077 3 73
all-meshes-CVIU11-pattern3-target240 13 4 6 111 4 11
all-meshes-CVIU11-pattern3-target242 13 2213 22400 3073 15294 111
all-meshes-CVIU11-pattern3-target243 13 2514 4798 2082 3265 80
all-meshes-CVIU11-pattern3-target244 13 227 236 1523 215 49
all-meshes-CVIU11-pattern3-target245 13 1 1 337 1 22
all-meshes-CVIU11-pattern3-target246 13 294 657 1061 336 53
all-meshes-CVIU11-pattern3-target247 13 29003 52381 235 36029 18
all-meshes-CVIU11-pattern3-target248 13 196 467 649 197 33
all-meshes-CVIU11-pattern3-target249 13 34 30 474 47 42
all-meshes-CVIU11-pattern3-target25 13 4 3 997 3 46
all-meshes-CVIU11-pattern3-target250 13 58 129 176 84 27
all-meshes-CVIU11-pattern3-target251 13 63 97 136 62 17
all-meshes-CVIU11-pattern3-target252 13 178 158 1977 177 106
all-meshes-CVIU11-pattern3-target253 13 294 766 1044 303 68
all-meshes-CVIU11-pattern3-target254 13 0 1 148 0 11
all-meshes-CVIU11-pattern3-target255 13 899 5209 4826 774 138
all-meshes-CVIU11-pattern3-target256 13 3122 4757 7494 3009 187
all-meshes-CVIU11-pattern3-target257 13 42 226 227 78 14
all-meshes-CVIU11-pattern3-target258 13 53 134 129 64 26
all-meshes-CVIU11-pattern3-target26 13 3 4 1172 4 50
all-meshes-CVIU11-pattern3-target260 13 0 1 118 0 19
all-meshes-CVIU11-pattern3-target261 13 470 847 1534 462 88
all-meshes-CVIU11-pattern3-target262 13 463 787 1459 577 74
all-meshes-CVIU11-pattern3-target263 13 502 3037 401 1185 27
all-meshes-CVIU11-pattern3-target264 13 4767 5264 1545 1935 69
all-meshes-CVIU11-pattern3-target265 13 159 201 240 89 18
all-meshes-CVIU11-pattern3-target266 13 85 308 372 89 24
all-meshes-CVIU11-pattern3-target267 13 2565 61779 2189 25899 75
all-meshes-CVIU11-pattern3-target268 13 7752 4047 3988 1420 163
all-meshes-CVIU11-pattern3-target269 13 138 842 1009 139 38
all-meshes-CVIU11-pattern3-target27 13 3 3 1014 4 82
all-meshes-CVIU11-pattern3-target270 13 119 112 856 107 69
all-meshes-CVIU11-pattern3-target271 13 5 8 130 4 22
all-meshes-CVIU11-pattern3-target272 13 78 201 245 92 35
all-meshes-CVIU11-pattern3-target273 13 1054 869 7738 825 150
all-meshes-CVIU11-pattern3-target275 13 1 0 208 0 25
all-meshes-CVIU11-pattern3-target278 13 0 0 111 0 8
all-meshes-CVIU11-pattern3-target279 13 0 1 228 1 12
all-meshes-CVIU11-pattern3-target28 13 3 3 1059 4 49
all-meshes-CVIU11-pattern3-target280 13 1903 6506 3043 2362 166
all-meshes-CVIU11-pattern3-target281 13 2103 10210 3290 2865 140
all-meshes-CVIU11-pattern3-target282 13 3 3 1093 4 72
all-meshes-CVIU11-pattern3-target283 13 12 11 4875 15 109
all-meshes-CVIU11-pattern3-target284 13 338 671 995 322 86
all-meshes-CVIU11-pattern3-target285 13 1022 994 3904 979 123
all-meshes-CVIU11-pattern3-target286 13 51493 138173 225 90082 16
all-meshes-CVIU11-pattern3-target287 13 215 556 816 206 66
all-meshes-CVIU11-pattern3-target288 13 682 5304 926 7306 51
all-meshes-CVIU11-pattern3-target289 13 25 58 101 47 18
all-meshes-CVIU11-pattern3-target29 13 270 287 1373 277 79
all-meshes-CVIU11-pattern3-target290 13 56 99 72 93 11
all-meshes-CVIU11-pattern3-target291 13 1393 2521 3997 1337 118
all-meshes-CVIU11-pattern3-target292 13 108 107 846 100 50
all-meshes-CVIU11-pattern3-target293 13 1 0 152 0 21
all-meshes-CVIU11-pattern3-target294 13 1278 5114 1249 3021 68
all-meshes-CVIU11-pattern3-target295 13 315 450 787 329 49
all-meshes-CVIU11-pattern3-target296 13 36 109 171 38 26
all-meshes-CVIU11-pattern3-target297 13 4 3 1248 3 82
all-meshes-CVIU11-pattern3-target298 13 170 273 461 184 47
all-meshes-CVIU11-pattern3-target299 13 0 1 75 0 5
all-meshes-CVIU11-pattern3-target3 13 96 100 156 58 29
all-meshes-CVIU11-pattern3-target30 13 3 3 1085 3 83
all-meshes-CVIU11-pattern3-target300 13 2 3 739 2 36
all-meshes-CVIU11-pattern3-target303 13 163 146 1456 153 80
all-meshes-CVIU11-pattern3-target304 13 1 1 382 1 31
all-meshes-CVIU11-pattern3-target305 13 83 121 358 97 20
all-meshes-CVIU11-pattern3-target306 13 2590 7677 7631 2241 152
all-meshes-CVIU11-pattern3-target307 13 20 12 208 19 17
all-meshes-CVIU11-pattern3-target308 13 3477 4059 7419 3389 200
all-meshes-CVIU11-pattern3-target309 13 4 2 901 2 76
all-meshes-CVIU11-pattern3-target31 13 4 2 785 3 51
all-meshes-CVIU11-pattern3-target310 13 53 46 706 71 26
all-meshes-CVIU11-pattern3-target311 13 2922 17639 4862 9668 170
all-meshes-CVIU11-pattern3-target313 13 1723 2036 2071 700 83
all-meshes-CVIU11-pattern3-target314 13 5956 191502 7373 23326 151
all-meshes-CVIU11-pattern3-target315 13 28 99 125 50 20
all-meshes-CVIU11-pattern3-target317 13 48 147 170 50 23
all-meshes-CVIU11-pattern3-target318 13 2936 17689 5351 9530 141
all-meshes-CVIU11-pattern3-target319 13 44 85 129 47 15
all-meshes-CVIU11-pattern3-target32 13 253 255 748 327 36
all-meshes-CVIU11-pattern3-target320 13 109 218 242 72 33
all-meshes-CVIU11-pattern3-target321 13 5 4 1199 4 70
all-meshes-CVIU11-pattern3-target322 13 2824 4696 6829 2798 165
all-meshes-CVIU11-pattern3-target323 13 248 8871 463 5962 33
all-meshes-CVIU11-pattern3-target324 13 137 266 336 158 46
all-meshes-CVIU11-pattern3-target325 13 44 68 99 54 19
all-meshes-CVIU11-pattern3-target326 13 460 675 1247 466 89
all-meshes-CVIU11-pattern3-target327 13 106 91 1755 114 48
all-meshes-CVIU11-pattern3-target328 13 1099 5527 1289 4831 72
all-meshes-CVIU11-pattern3-target329 13 3218 2193 912 1721 73
all-meshes-CVIU11-pattern3-target33 13 108 100 817 140 69
all-meshes-CVIU11-pattern3-target330 13 79 222 233 92 41
all-meshes-CVIU11-pattern3-target331 13 3295 5537 8294 3031 190
all-meshes-CVIU11-pattern3-target332 13 61 90 656 55 28
all-meshes-CVIU11-pattern3-target333 13 1095 9707 1416 2328 85
all-meshes-CVIU11-pattern3-target334 13 237 1243 542 380 63
all-meshes-CVIU11-pattern3-target335 13 161 238 345 195 22
all-meshes-CVIU11-pattern3-target336 13 86 151 215 109 34
all-meshes-CVIU11-pattern3-target337 13 22 12 267 21 30
all-meshes-CVIU11-pattern3-target338 13 0 0 121 0 8
all-meshes-CVIU11-pattern3-target339 13 76 96 118 79 12
all-meshes-CVIU11-pattern3-target340 13 359 529 990 373 44
all-meshes-CVIU11-pattern3-target342 13 228 1273 588 326 40
all-meshes-CVIU11-pattern3-target343 13 1593 2258 4190 1675 153
all-meshes-CVIU11-pattern3-target346 13 85 160 237 90 37
all-meshes-CVIU11-pattern3-target347 13 0 0 100 0 8
all-meshes-CVIU11-pattern3-target348 13 117 281 370 130 50
all-meshes-CVIU11-pattern3-target349 13 0 1 288 1 23
all-meshes-CVIU11-pattern3-target35 13 124 190 323 119 22
all-meshes-CVIU11-pattern3-target350 13 104 98 781 113 36
all-meshes-CVIU11-pattern3-target351 13 22 56 92 41 11
all-meshes-CVIU11-pattern3-target352 13 257 1817 434 969 34
all-meshes-CVIU11-pattern3-target353 13 1000025 23481 3521 9094 128
all-meshes-CVIU11-pattern3-target354 13 10 9 373 15 31
all-meshes-CVIU11-pattern3-target356 13 0 0 58 0 11
all-meshes-CVIU11-pattern3-target357 13 58 141 162 57 24
all-meshes-CVIU11-pattern3-target358 13 83 357 406 127 36
all-meshes-CVIU11-pattern3-target359 13 63 232 309 99 39
all-meshes-CVIU11-pattern3-target36 13 533 470 3247 464 94
all-meshes-CVIU11-pattern3-target360 13 770 739 3161 757 84
all-meshes-CVIU11-pattern3-target361 13 4 4 1345 4 93
all-meshes-CVIU11-pattern3-target362 13 16 15 312 16 17
all-meshes-CVIU11-pattern3-target363 13 0 0 99 0 13
all-meshes-CVIU11-pattern3-target364 13 34 46 547 43 22
all-meshes-CVIU11-pattern3-target365 13 28 26 389 25 33
all-meshes-CVIU11-pattern3-target366 13 860 700 3848 739 129
all-meshes-CVIU11-pattern3-target367 13 23248 34051 619 20053 34
all-meshes-CVIU11-pattern3-target368 13 4 6 1699 4 74
all-meshes-CVIU11-pattern3-target369 13 391 347 2468 381 87
all-meshes-CVIU11-pattern3-target37 13 55 114 126 56 23
all-meshes-CVIU11-pattern3-target370 13 274 221 2728 229 93
all-meshes-CVIU11-pattern3-target378 13 532 460 2562 464 92
all-meshes-CVIU11-pattern3-target379 13 2 2 785 3 63
all-meshes-CVIU11-pattern3-target38 13 7764 246534 2568 14357 85
all-meshes-CVIU11-pattern3-target380 13 341 1323 1406 345 72
all-meshes-CVIU11-pattern3-target381 13 10 14 256 9 18
all-meshes-CVIU11-pattern3-target382 13 1718 1440 7786 1469 132
all-meshes-CVIU11-pattern3-target383 13 2 2 524 2 58
all-meshes-CVIU11-pattern3-target384 13 991 8981 1486 4049 57
all-meshes-CVIU11-pattern3-target385 13 1954 92287 3700 7983 162
all-meshes-CVIU11-pattern3-target386 13 6 6 120 6 11
all-meshes-CVIU11-pattern3-target387 13 59 91 648 52 37
all-meshes-CVIU11-pattern3-target388 13 959 2565 3210 941 125
all-meshes-CVIU11-pattern3-target389 13 787 682 3735 680 84
all-meshes-CVIU11-pattern3-target39 13 3 5 87 3 7
all-meshes-CVIU11-pattern3-target390 13 1072 116884 3033 18249 132
all-meshes-CVIU11-pattern3-target391 13 3044 2760 9173 2830 185
all-meshes-CVIU11-pattern3-target392 13 0 1 154 1 11
all-meshes-CVIU11-pattern3-target393 13 190 406 542 170 29
all-meshes-CVIU11-pattern3-target394 13 1 1 363 1 46
all-meshes-CVIU11-pattern3-target396 13 83 258 362 83 23
all-meshes-CVIU11-pattern3-target397 13 485 419 2663 468 96
all-meshes-CVIU11-pattern3-target4 13 50 181 173 94 14
all-meshes-CVIU11-pattern3-target402 13 24 72 101 45 20
all-meshes-CVIU11-pattern3-target403 13 165 328 552 141 54
all-meshes-CVIU11-pattern3-target405 13 878 1480 2713 883 113
all-meshes-CVIU11-pattern3-target406 13 2 2 482 2 26
all-meshes-CVIU11-pattern3-target407 13 0 1 93 0 11
all-meshes-CVIU11-pattern3-target408 13 0 0 112 0 23
all-meshes-CVIU11-pattern3-target409 13 2177 628 144 430 13
all-meshes-CVIU11-pattern3-target41 13 4836 10575 1480 7017 74
all-meshes-CVIU11-pattern3-target410 13 0 1 107 1 20
all-meshes-CVIU11-pattern3-target411 13 193 388 603 225 46
all-meshes-CVIU11-pattern3-target412 13 27 42 91 43 16
all-meshes-CVIU11-pattern3-target413 13 0 1 71 0 9
all-meshes-CVIU11-pattern3-target414 13 57 137 190 90 17
all-meshes-CVIU11-pattern3-target415 13 4 3 802 3 42
all-meshes-CVIU11-pattern3-target416 13 35 102 134 69 19
all-meshes-CVIU11-pattern3-target417 13 35 126 94 36 23
all-meshes-CVIU11-pattern3-target418 13 6141 21793 212 12781 18
all-meshes-CVIU11-pattern3-target419 13 0 1 269 1 19
all-meshes-CVIU11-pattern3-target420 13 2068 23245 4135 8915 163
all-meshes-CVIU11-pattern3-target421 13 1 1 375 1 28
all-meshes-CVIU11-pattern3-target422 13 2 2 538 2 38
all-meshes-CVIU11-pattern3-target423 13 158 282 390 174 50
all-meshes-CVIU11-pattern3-target424 13 245 248 1627 245 56
all-meshes-CVIU11-pattern3-target425 13 6831 4825 211 1687 18
all-meshes-CVIU11-pattern3-target427 13 165 369 494 173 60
all-meshes-CVIU11-pattern3-target428 13 1617 2576 4659 1607 145
all-meshes-CVIU11-pattern3-target429 13 164 506 185 186 32
all-meshes-CVIU11-pattern3-target430 13 8 10 3076 10 140
all-meshes-CVIU11-pattern3-target431 13 787 637 3971 636 124
all-meshes-CVIU11-pattern3-target432 13 2 2 482 2 51
all-meshes-CVIU11-pattern3-target435 13 297 862 1327 323 61
all-meshes-CVIU11-pattern3-target436 13 1510 14138 2068 6093 108
all-meshes-CVIU11-pattern3-target437 13 0 0 63 0 7
all-meshes-CVIU11-pattern3-target438 13 8 7 3108 7 106
all-meshes-CVIU11-pattern3-target44 13 5 7 1931 6 83
all-meshes-CVIU11-pattern3-target440 13 142 358 442 156 52
all-meshes-CVIU11-pattern3-target441 13 745 1316 2305 755 65
all-meshes-CVIU11-pattern3-target443 13 240 211 1867 202 94
all-meshes-CVIU11-pattern3-target444 13 1087 1473 2649 1047 100
all-meshes-CVIU11-pattern3-target446 13 1223 8619 1476 2893 73
all-meshes-CVIU11-pattern3-target447 13 962 932 3605 881 144
all-meshes-CVIU11-pattern3-target448 13 684 1360 2245 656 106
all-meshes-CVIU11-pattern3-target449 13 5025 58838 2626 13806 81
all-meshes-CVIU11-pattern3-target45 13 250 493 753 255 49
all-meshes-CVIU11-pattern3-target450 13 569 1675 2405 573 70
all-meshes-CVIU11-pattern3-target452 13 29500 529541 6952 53680 132
all-meshes-CVIU11-pattern3-target453 13 2559 14180 1869 3025 116
all-meshes-CVIU11-pattern3-target454 13 994 4322 4904 845 131
all-meshes-CVIU11-pattern3-target455 13 179469 391610 844 233238 81
all-meshes-CVIU11-pattern3-target456 13 1955 1753 7642 1716 91
all-meshes-CVIU11-pattern3-target457 13 71 65 693 78 76
all-meshes-CVIU11-pattern3-target458 13 539 763 1527 563 85
all-meshes-CVIU11-pattern3-target46 13 1 1 337 1 21
all-meshes-CVIU11-pattern3-target460 13 368 2451 852 1472 86
all-meshes-CVIU11-pattern3-target461 13 2634 2435 8573 2486 153
all-meshes-CVIU11-pattern3-target462 13 41 127 203 55 24
all-meshes-CVIU11-pattern3-target463 13 59 145 173 90 28
all-meshes-CVIU11-pattern3-target464 13 12586 5901 4583 1872 145
all-meshes-CVIU11-pattern3-target465 13 1556 2747 831 1043 43
all-meshes-CVIU11-pattern3-target466 13 0 1 106 1 15
all-meshes-CVIU11-pattern3-target467 13 12 10 4550 14 111
all-meshes-CVIU11-pattern3-target468 13 266 572 891 272 48
all-meshes-CVIU11-pattern3-target47 13 5 4 108 7 8
all-meshes-CVIU11-pattern3-target470 13 11390 62894 522 44497 47
all-meshes-CVIU11-pattern3-target471 13 1167 5112 3680 1114 134
all-meshes-CVIU11-pattern3-target472 13 0 0 132 0 26
all-meshes-CVIU11-pattern3-target474 13 200 159 1349 219 60
all-meshes-CVIU11-pattern3-target475 13 25 21 339 21 44
all-meshes-CVIU11-pattern3-target476 13 407 315 3895 343 100
all-meshes-CVIU11-pattern3-target477 13 29 52 111 51 8
all-meshes-CVIU11-pattern3-target478 13 115 124 193 101 15
all-meshes-CVIU11-pattern3-target479 13 1953 4576 5742 1789 132
all-meshes-CVIU11-pattern3-target48 13 58936 127081 1639 59344 70
all-meshes-CVIU11-pattern3-target481 13 226 136 2220 144 79
all-meshes-CVIU11-pattern3-target482 13 0 1 151 1 9
