instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
si6_r001_m600.08 7 125 252 961 192 91
si6_r001_m600.02 7 118 271 1014 126 61
si6_r001_m600.04 7 119 210 1016 149 87
si6_r001_m600.05 7 118 219 970 131 81
si2_m4Dr2_m1296.05 6 94 159 1198 84 60
si2_m4Dr2_m1296.09 6 76 160 1193 88 49
si2_m4Dr2_m1296.02 6 400 415 1078 405 67
si2_m4Dr2_m1296.07 6 75 956 1178 857 60
si2_m4Dr2_m1296.00 6 69 945 1234 776 52
si2_m4Dr2_m1296.06 6 99 185 1132 88 97
si2_m4Dr2_m1296.08 6 78 214 1112 104 51
si2_m4Dr2_m1296.01 6 127 158 1150 112 48
si2_m4Dr2_m1296.03 6 75 966 1139 719 55
si2_m4Dr2_m1296.04 6 78 971 1222 794 69
si4_b06m_m800.08 4 44 745 772 580 48
si4_b06m_m800.00 4 44 653 786 549 36
si4_b06m_m800.06 4 47 741 905 510 66
si4_b06m_m800.05 4 44 646 823 572 40
si4_b06m_m800.04 4 74 709 862 571 37
si4_b06m_m800.09 4 66 701 816 537 68
si4_b06m_m800.01 4 71 747 813 554 37
si4_b06m_m800.07 4 43 697 767 513 46
si4_b06m_m800.03 4 41 706 766 551 42
si4_b06m_m800.02 4 74 676 806 682 40
si6_m4Dr2_m625.08 6 49 112 686 59 57
si6_m4Dr2_m625.09 6 50 504 666 466 59
si6_m4Dr2_m625.05 6 51 897 646 73 59
si6_m4Dr2_m625.01 6 65 515 784 367 69
si6_m4Dr2_m625.06 6 46 565 793 466 41
si6_m4Dr2_m625.00 6 43 560 652 524 36
si6_m4Dr2_m625.03 6 47 489 783 493 58
si6_m4Dr2_m625.02 6 51 148 720 70 68
si6_m4Dr2_m625.07 6 75 553 723 463 53
si6_m4Dr2_m625.04 6 50 575 715 388 30
si2_m4D_m1296.01 5 361 410 1291 422 45
si2_m4D_m1296.08 5 67 168 1542 74 51
si2_m4D_m1296.06 5 251 1927 1395 1983 61
si2_m4D_m1296.05 5 96 204 1640 77 51
si2_m4D_m1296.09 5 69 205 1574 123 65
si2_m4D_m1296.03 5 165 309 1248 212 51
si2_m4D_m1296.07 5 69 179 1517 119 95
si2_m4D_m1296.02 5 109 206 1571 76 52
si2_m4D_m1296.04 5 74 189 1573 118 77
si2_m4D_m1296.00 5 85 194 1638 72 91
si4_b03_m800.05 3 55 163 568 66 27
si4_b03_m800.00 3 54 141 546 63 32
si4_b03_m800.08 3 98 113 618 87 33
si4_b03_m800.09 3 95 119 584 59 35
si4_b03_m800.03 3 53 123 536 101 45
si4_b03_m800.02 3 96 107 556 107 31
si4_b03_m800.04 3 80 144 556 103 45
si4_b03_m800.01 3 93 101 591 105 44
si4_b03_m800.06 3 56 146 579 91 26
si4_b03_m800.07 3 67 129 552 59 31
si6_m4D_m1296.02 5 255 634 4650 258 124
si6_m4D_m1296.07 5 984 1017 3249 1009 151
si6_m4D_m1296.05 5 239 526 4545 230 135
si6_m4D_m1296.09 5 339 1267 3407 1007 94
si6_m4D_m1296.00 5 553 1397 3596 1112 85
si6_m4D_m1296.08 5 280 545 4607 282 105
si6_m4D_m1296.04 5 233 592 4514 264 96
si6_m4D_m1296.06 5 1297 714 3130 577 113
si6_m4D_m1296.01 5 1400 1136 3360 930 100
si6_m4D_m1296.03 5 13728 4972 3253 4918 151
si6_r001_m200.05 7 6 15 41 6 12
si6_r001_m200.09 7 5 12 66 9 9
si6_r001_m200.07 7 6 36 45 14 9
si6_r001_m200.02 7 6 16 62 9 9
si6_r001_m200.01 7 4 12 66 9 13
si6_r001_m200.00 7 4 11 54 5 11
si6_r001_m200.04 7 4 16 65 9 12
si6_r001_m200.06 7 7 25 67 26 7
si6_r001_m200.08 7 8 36 74 14 7
si6_r001_m200.03 7 7 12 69 9 12
si4_b06_m400.06 3 27 47 204 51 19
si4_b06_m400.07 3 26 71 226 39 25
si4_b06_m400.09 3 26 73 284 29 36
si4_b06_m400.01 3 31 75 204 51 19
si4_b06_m400.04 3 26 59 236 32 25
si4_b06_m400.03 3 27 73 308 28 18
si4_b06_m400.00 3 26 66 203 30 32
si4_b06_m400.05 3 30 65 210 51 33
si4_b06_m400.08 3 26 72 210 49 32
si4_b06_m400.02 3 45 70 202 34 35
si2_m4Dr6_m256.06 6 4 9 47 4 14
si2_m4Dr6_m256.05 6 6 9 52 4 9
si2_m4Dr6_m256.09 6 3 18 61 10 15
si2_m4Dr6_m256.00 6 3 9 34 7 17
si2_m4Dr6_m256.07 6 5 7 33 6 15
si2_m4Dr6_m256.04 6 5 9 34 6 8
si2_m4Dr6_m256.02 6 4 10 65 4 9
si2_m4Dr6_m256.01 6 3 7 44 6 15
si2_m4Dr6_m256.08 6 7 7 45 9 16
si2_m4Dr6_m256.03 6 5 9 60 7 16
si6_r01_m200.04 7 124 152 315 89 49
si6_r01_m200.08 7 100 144 356 197 57
si6_r01_m200.02 7 178 323 292 285 55
si6_r01_m200.09 7 135 174 321 162 49
si6_r01_m200.07 7 155 188 277 120 50
si6_r01_m200.00 7 210 200 347 128 46
si6_r01_m200.01 7 96 123 295 165 72
si6_r01_m200.03 7 507 459 305 491 72
si6_r01_m200.05 7 169 135 278 114 41
si6_r01_m200.06 7 138 128 284 97 46
si2_b03m_m800.03 4 15 316 214 166 23
si2_b03m_m800.02 4 25 320 293 158 30
si2_b03m_m800.09 4 25 302 251 118 27
si2_b03m_m800.04 4 18 324 242 164 18
si2_b03m_m800.06 4 16 299 228 141 35
si2_b03m_m800.05 4 24 315 221 135 19
si2_b03m_m800.01 4 16 284 246 179 15
si2_b03m_m800.08 4 16 345 242 73 33
