instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
A.15 0.0239391 0.0049221 1000 0.0253359 12.5302 4.42505 3.94654 4.02987 4.70988 4.47188 19.0712 5.28351 5.32732 5.2666 5.38095 5.48199 18.6082 4.70403 4.73494 4.53888 4.39738 4.6174 9.62812 4.28346 4.09729 4.22469 3.87898 3.78096
C.19 0.272621 0.0793778 1000.01 0.0386527 87.5129 23.6307 24.6243 25.0643 24.0209 24.5121 NaN 27.1862 25.6238 25.9631 25.8565 25.8897 NaN 25.3345 25.0158 24.1076 25.507 25.4852 NaN 23.4006 22.5718 22.6866 23.1417 22.7455
B.02 0.0990327 0.0260284 1000.01 0.0340964 194.994 11.881 11.8907 11.5753 11.7474 11.5853 198.499 13.037 13.245 12.7595 13.0843 12.722 437.993 11.1681 11.9377 11.3561 11.6273 11.1578 215.032 10.4353 10.6462 10.8119 10.0959 9.70869
E.06 0.110372 0.0179489 1000.01 227.048 NaN 18.4295 17.7775 17.8143 17.3708 17.5268 NaN 18.4825 18.1867 18.1456 18.4459 18.21 NaN 17.513 17.7239 18.2684 17.4908 17.8983 NaN 17.641 17.1907 17.4253 17.0101 16.9237
E.18 0.107705 0.0159394 1000.01 0.625062 NaN 16.0432 15.9976 16.0144 16.2431 15.9912 NaN 17.5495 17.7352 17.6672 17.038 17.8994 NaN 17.3463 17.1247 16.9575 16.2863 16.3545 NaN 16.4843 16.8208 16.3797 16.3195 16.4585
C.20 0.289065 0.0883018 1000.01 0.0403429 NaN 24.3987 24.2758 25.0461 24.431 24.1439 NaN 25.9153 26.5381 26.2226 25.2749 25.0349 NaN 23.74 23.8931 23.4203 23.6486 24.3132 NaN 22.8398 23.2586 23.3505 23.8502 23.4896
F.02 0.416459 0.103708 1000.01 0.547676 NaN 20.5678 20.2114 20.0716 20.6874 20.0005 NaN 20.1098 20.3367 19.7682 19.7099 19.801 NaN 19.7589 19.5761 19.8629 18.8732 19.6031 NaN 18.4321 18.8926 18.1112 18.7091 19.011
F.11 0.257378 0.0393673 1000.01 0.0743257 NaN 18.7407 18.923 19.3847 19.094 19.2658 NaN 18.7031 19.0312 19.2873 19.2582 19.6281 NaN 19.123 18.9597 19.4019 18.6136 19.1825 NaN 17.7754 18.1139 17.9529 18.7299 18.0594
F.12 0.279492 0.0676214 1000.01 0.0418346 23.3456 18.6058 18.536 19.1594 18.9619 18.5189 NaN 18.5138 18.5086 18.6256 18.5179 18.6468 NaN 18.7861 17.8882 17.9496 17.9976 17.8885 NaN 17.7559 17.8726 17.6201 17.7215 17.776
E.05 0.312886 0.0250144 1000.01 1000.02 NaN 16.8033 16.953 16.9035 16.9841 16.9852 NaN 17.6992 17.6918 17.6778 17.5159 17.7439 NaN 16.8601 17.0782 17.1131 16.9927 17.0404 NaN 16.8427 16.4985 16.5164 16.7142 16.7845
B.16 0.132963 0.0284674 1000.01 0.033343 18.5179 10.7249 10.6401 11.0384 11.0623 10.8206 20.4248 12.4818 12.4397 12.738 13.0537 12.1496 584.978 10.6732 11.0445 11.2708 10.9831 10.8437 265.139 10.2755 10.1753 10.251 9.94167 10.0984
A.08 0.0164726 0.0054333 1.66007 0.0261606 4.75612 3.51156 3.81432 3.57473 3.81585 3.90751 7.7238 3.94067 4.16436 4.34086 4.09311 4.25111 7.54229 3.95997 3.93964 3.80304 3.80476 3.92707 5.69606 3.6944 3.62579 3.85453 3.64321 3.64145
C.14 0.332945 0.0767953 1000.01 0.0364444 NaN 23.7553 24.2525 24.5953 23.9199 24.285 NaN 26.4128 26.6499 27.2462 27.0811 26.2002 NaN 24.0454 24.2216 24.2089 23.3485 25.778 940.868 22.5658 23.2384 23.5303 23.6483 23.861
F.16 0.261366 0.0690552 1000.01 0.0427559 NaN 19.3239 22.9353 22.4789 20.2561 20.1824 NaN 19.2198 23.1253 23.172 21.3397 21.6181 NaN 18.1291 20.4709 19.9492 19.302 19.3345 NaN 18.081 17.7004 17.9319 18.2937 17.8869
F.06 0.340333 0.230763 1000.01 3.69308 NaN 17.0739 25.6411 25.3844 17.7359 17.7937 NaN 18.1769 26.0534 27.0491 18.1434 18.0509 NaN 16.8984 27.3804 27.121 20.7735 23.2725 NaN 16.5132 19.3764 19.3767 17.8428 18.3318
A.03 0.017686 0.00548275 16.3476 0.0241364 12.1536 3.53692 3.54609 3.58663 3.62155 3.57546 14.7252 3.86199 3.91721 3.95531 4.16983 3.88943 14.7964 3.8443 3.57543 3.8362 3.71482 3.9149 8.93214 3.58589 3.61971 3.52151 3.60496 3.60668
E.19 0.0900013 0.0156152 1000.01 472.279 NaN 15.518 15.6623 15.9588 15.6079 15.4357 NaN 16.1802 16.3588 16.2059 16.3505 16.1978 NaN 16.124 15.6698 15.7096 15.8053 15.997 NaN 15.4012 15.5804 15.6901 15.7199 15.4083
C.15 0.400492 0.0911976 1000.01 0.0405819 NaN 23.0795 22.8998 23.6927 23.6037 24.1608 NaN 25.8105 25.503 25.9708 26.0005 26.3085 NaN 23.4567 23.8832 22.883 24.0916 23.216 860.081 22.9021 22.2423 22.1738 22.0095 22.6752
