instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
PR15-4 0.288252 1.07995 0.150176 0.12802 9.57466 9.80082 9.76562 9.69491 10.1224 9.79705 10.0428 10.0244 10.204 10.4249 10.0978 10.211 23.0807 10.7652 12.3263 13.5923 12.7173 12.3909 9.62055 9.92214 10.1299 10.3519 9.97364 10.072
PR15-5 0.26306 0.541598 0.295738 0.132241 127.155 10.7747 10.9188 10.918 10.7956 11.0596 135.039 11.5975 11.3417 11.3166 11.4909 11.814 132.662 10.8422 10.8822 10.9696 11.0433 10.7729 73.9781 10.6023 10.5115 10.6586 10.7627 10.7359
PR15-6 0.289589 0.753173 0.224959 0.126837 256.001 18.0074 18.3077 18.7079 18.4406 18.5444 862.195 19.0441 19.3709 19.4785 19.7327 19.6879 846.568 18.7948 18.587 18.5868 18.5774 18.4141 430.898 17.8923 17.7388 17.7748 18.1119 18.0051
PR15-7 0.333784 2.11661 0.300665 0.12354 1001.24 26.3874 26.4495 26.7626 26.324 26.264 NaN 27.5456 28.1704 28.5943 28.0071 28.5334 NaN 27.2175 26.4957 26.7583 27.8873 26.6851 495.159 26.3327 25.5371 25.9996 25.9546 25.9314
PR15-8 0.253223 0.872058 0.150677 0.132977 9.25434 9.37281 9.47008 9.47419 9.81253 9.79313 9.84171 10.141 10.2154 10.0905 9.77308 9.86223 10.6436 9.97692 10.0222 10.1166 10.2672 9.86136 10.0347 9.59407 9.84647 9.92427 9.96771 9.85493
PR15-9 0.319783 2.40184 0.181791 0.139548 28.8145 15.841 17.3126 17.1659 15.4605 15.7011 177.115 16.3744 17.9908 17.8969 16.674 16.6251 170.99 16.2306 17.0369 17.3204 16.1146 16.3235 82.4357 15.3876 15.8479 15.8817 15.2193 15.611
PR15-10 0.269348 1.29928 0.150669 0.139238 9.75805 9.86524 9.71237 10.0582 9.89317 9.90966 9.9961 10.0851 10.2512 10.8228 10.1864 10.2983 41.0926 12.9611 24.5665 28.2491 26.4387 26.0141 9.76736 9.87623 10.3848 10.2368 10.1539 10.3124
PR15-11 0.266568 0.269054 0.149476 0.156637 9.2141 9.69581 9.62935 9.48777 9.62132 9.74153 9.50154 9.93436 9.82604 9.87185 10.1045 9.86194 9.43874 9.84182 9.67382 9.68075 9.51467 9.71289 13.4674 9.56291 9.58153 9.65083 9.74257 9.44164
PR15-12 0.313686 0.148466 0.16793 0.134042 11.8206 9.72062 9.73255 9.58919 9.69903 9.72457 12.2684 10.3053 10.0095 9.95659 9.95791 10.1153 18.937 9.70563 10.3027 10.2912 10.1265 10.4302 13.6398 9.8533 10.0773 10.1631 10.2825 10.2687
PR15-13 0.283647 1.07914 6.08643 0.125335 45.667 15.4907 15.3195 15.4932 15.5271 15.3743 377.642 16.0645 16.2386 16.0314 15.9382 15.9457 368.304 15.7596 15.7003 15.7482 15.7612 15.7584 178.923 14.9871 15.1914 15.3086 14.9997 15.4358
PR15-14 0.302872 4.29206 0.256017 0.128354 54.0245 21.7067 22.0086 22.1929 21.5937 21.502 735.908 22.5443 22.9668 22.5145 23.007 22.9475 756.301 21.7412 21.969 21.4762 21.9464 22.1887 353.724 21.1437 20.8337 21.303 21.2235 21.192
PR15-15 0.304724 0.950063 0.253787 0.148872 550.284 16.6663 16.8145 16.914 16.9015 17.1443 571.493 17.7422 18.0594 18.4131 18.1655 18.2098 606.378 16.9689 17.0272 16.9519 17.1608 16.8705 305.049 16.4645 16.6917 16.5044 16.5126 16.5651
PR15-16 0.247573 0.582469 0.150022 0.125683 9.11595 9.38243 9.37923 9.37306 9.50102 9.41979 9.40312 9.81003 9.6816 9.82433 9.84414 9.68952 9.28173 9.44958 9.45512 9.63018 9.34353 9.6064 9.12082 9.6078 9.51255 9.47743 9.60502 9.95329
PR15-17 0.302038 0.548619 0.150622 0.120309 9.33621 9.83993 9.75379 9.86069 9.64836 9.54508 10.4818 10.2032 10.4993 10.9746 10.6565 10.713 10.8641 10.0184 10.6431 11.7931 11.4337 11.6316 10.7216 9.82032 9.64334 9.87889 9.70975 9.7135
PR15-18 0.258866 12.0109 0.184352 0.124443 30.5239 10.4937 10.5211 10.6103 10.3948 10.4033 103.995 10.7322 10.6743 10.6448 11.178 10.7278 105.622 10.4017 10.5953 10.3434 10.4799 10.5955 60.5938 10.2308 10.1958 10.3306 10.2938 10.3381
PR15-19 0.255553 1.41894 0.15154 0.152044 9.65147 9.50209 9.69672 9.82748 9.66677 9.61331 9.88292 10.109 10.0915 10.0699 10.0706 10.0426 39.5877 9.73722 10.1407 10.3492 9.90619 10.0988 27.748 9.51741 9.75976 9.49365 9.88985 9.68912
PR15-20 0.272392 1.12089 0.151535 0.151051 9.62837 9.91635 9.80188 9.78383 9.67831 9.93325 10.4443 10.0987 10.1021 10.3807 10.2258 10.3968 44.5759 12.4567 26.8947 31.1928 25.503 27.3939 9.96427 9.87031 9.88645 9.74469 9.63287 9.78558
PR15-21 0.257545 0.115972 0.441768 0.124149 88.9384 10.7625 10.6011 10.8434 10.7317 10.6842 85.8601 10.7839 10.9092 10.7252 10.8464 10.8639 89.1915 10.6037 10.5761 10.6214 10.4942 10.5728 51.4864 10.3315 10.4231 10.3585 10.2369 10.2502
PR15-22 0.290288 1.66863 0.150729 0.137037 10.0239 10.0079 9.95893 10.3641 10.3386 10.1216 10.264 10.3737 10.2751 10.4619 10.51 10.5973 46.0423 10.4977 15.3053 15.9304 16.5188 16.6146 29.6618 9.96887 12.2088 11.9137 12.115 11.803
PR15-23 0.24781 2.13223 0.177962 0.12597 13.3152 9.62785 9.78714 9.41531 9.47029 9.51069 25.1878 9.53424 9.66335 10.1237 9.75622 9.53839 13.438 9.59793 10.071 9.89958 9.85191 9.63958 18.0435 9.17219 9.318 9.41288 9.33251 9.38926
PR15-24 0.308243 3.93392 0.242926 0.125971 76.2502 14.1013 14.3932 14.5777 14.241 14.465 302.592 14.7557 15.3054 15.5011 15.1966 15.1484 285.993 14.2064 14.9138 14.8148 14.8567 14.8274 137.504 14.2242 14.0195 13.8463 14.1159 13.933
g10-g100 0.0151214 0.0203483 0.0278842 0.0390463 6.18708 5.2475 5.47255 5.36144 5.45247 5.38899 6.63851 5.93911 5.89826 5.95945 5.78558 5.71898 6.4687 5.7156 5.67241 5.80569 5.70191 5.60901 6.19223 5.57855 5.3608 5.52626 5.33778 5.28412
g10-g101 0.0163792 0.0267911 0.0461241 0.0523438 14.2165 9.07454 9.08691 9.22415 9.33091 9.20449 14.9873 9.68296 9.75561 9.66245 9.81882 9.87159 14.9725 9.54182 9.61797 9.62014 9.7142 9.55614 13.3498 9.22278 9.29753 9.22135 9.21581 9.10314
g10-g102 0.0186696 0.0274264 0.054473 0.0685706 16.6737 10.879 10.7655 10.8334 10.8284 10.9551 17.468 11.4372 11.4511 11.4302 11.466 11.5211 17.0261 11.5051 11.585 11.4285 11.174 11.2986 16.2435 10.9838 11.0448 11.0674 11.1311 11.0231
g10-g103 0.0880908 0.0284689 0.0645073 0.105892 20.8409 14.6723 14.4879 14.7219 14.5013 14.436 21.9979 15.1484 15.2258 15.181 15.2273 15.2673 21.7815 15.1393 15.1189 15.2192 15.316 14.8597 19.3019 14.6936 14.4847 14.7131 14.8179 14.56
g10-g104 1000.06 NaN 1000.01 1000.03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g105 1000.06 NaN 1000.01 1000.03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g106 1000.07 NaN 1000.01 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g107 1000.06 NaN 1000.01 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 859.948
g10-g108 1000.06 NaN 1000.01 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g109 0.0344414 0.102586 0.211656 0.145452 38.7609 20.6361 20.4882 20.5564 20.7044 20.6265 39.7612 21.7032 21.5159 21.417 21.49 21.3979 39.7133 21.1325 21.2948 20.7691 21.2291 20.996 37.6013 20.6952 20.6439 21.4424 21.0548 20.7043
g10-g110 0.768755 0.134181 0.554789 0.289617 81.1497 39.7213 39.316 39.8813 39.5213 39.1013 79.8363 39.6995 40.4157 40.6679 40.3086 40.4194 81.7693 40.1454 39.948 39.8065 39.6502 40.5141 68.0038 39.8724 39.0047 39.8474 39.7989 41.735
g10-g111 1000.06 NaN 1000.01 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g112 0.649259 1.53585 995.982 0.219625 540.435 23.346 29.4895 32.5181 23.4286 27.9966 550.296 24.5799 30.6442 34.2082 25.4127 29.5095 537.861 24.3122 29.9458 32.3048 24.6204 28.5123 262.455 24.2774 26.4877 29.1266 23.9342 26.7155
g10-g51 1000.41 NaN 1000 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g10-g52 0.00669385 0.0029125 0.00420996 0.021785 2.17509 2.25679 2.24845 2.1644 2.32999 2.22305 2.52802 2.63111 2.38298 2.50141 2.49054 2.61723 2.46524 2.46629 2.48216 2.48752 2.50385 2.56467 2.4155 2.62939 2.40722 2.28458 2.37922 2.3131
g10-g53 0.0488607 1.86551 1000 2.04447 NaN 2.56716 10.0611 5.80152 2.57235 4.13033 NaN 2.79087 10.7986 6.39421 3.06412 4.39738 780.062 2.73338 10.4308 6.28548 2.72538 3.79053 60.8822 2.66482 3.82066 3.59129 2.74973 3.07694
g10-g54 0.0139053 0.0033739 0.005345 0.0243522 2.8296 NaN NaN NaN NaN NaN 3.06626 NaN NaN NaN NaN NaN 2.88383 NaN NaN NaN NaN NaN 3.14312 NaN NaN NaN NaN NaN
g10-g55 0.0142352 0.00342567 0.00536823 0.0237904 2.75978 2.69611 2.70448 2.70444 2.8258 2.78498 3.02954 2.97357 3.003 2.92321 3.00059 2.93502 2.90226 2.79218 2.86378 2.87801 2.88302 2.86832 2.86328 2.77416 3.01172 2.95512 2.81714 2.78999
g10-g56 0.0100932 0.00350381 0.00551894 0.0243466 2.84408 2.84264 2.93607 2.90287 2.83156 2.84409 3.01544 3.07046 3.15078 3.02216 3.1579 3.07829 2.97996 2.98134 3.10915 3.00627 2.99801 3.19716 3.10739 3.0577 3.10128 3.3119 3.13684 3.08805
g10-g57 0.00583512 0.00303381 0.00439348 0.0212981 1.90891 1.96368 1.91682 1.92494 2.00282 1.93994 2.22511 2.179 2.19106 2.23466 2.2115 2.15262 2.05332 2.14551 2.03804 2.03867 2.05711 2.04981 1.9581 2.03577 2.05629 2.00411 2.16069 2.00395
g10-g61 0.00675059 0.00325771 3.62175 0.0223455 6.93578 2.94886 2.90428 2.8727 2.91457 2.82388 7.88339 3.05889 3.06635 3.13472 3.18034 3.08543 6.43689 3.00704 2.99121 3.06725 3.05658 2.94953 4.11899 2.90641 2.86607 2.9129 2.8073 2.80328
g10-g62 0.0108898 0.0041172 0.00602777 0.0257241 2.84052 3.02096 2.99868 2.99425 2.99315 2.88958 3.18174 3.35743 3.19878 3.48486 3.33977 3.40537 3.17611 3.07804 3.08025 3.11801 3.20477 3.14362 3.14477 3.21339 3.08353 2.95933 3.14899 3.095
g10-g63 1000.14 NaN 1000.01 1000.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 122.007 NaN 324.575 380.262 NaN 520.087
g10-g64 0.0510202 0.20875 0.0146347 0.0393497 10.8205 11.1202 11.0469 10.9618 10.7577 11.1615 11.1718 11.0647 11.3909 11.6963 11.2569 11.6845 NaN NaN 11.5127 11.3865 97.8459 38.3777 NaN NaN 13.7158 11.243 220.88 16.0383
g10-g65 0.0254134 0.00455061 5.8948 0.0302109 6.9038 4.26911 4.49896 4.3126 4.52046 4.42296 7.36087 4.55877 4.80616 4.96785 4.64496 4.82323 6.84872 4.60296 4.64812 4.66617 4.61887 4.79071 5.72234 4.68938 4.37092 4.47616 4.5466 4.58629
g10-g67 0.00799669 0.00402831 0.0061101 0.0250579 3.42843 3.21224 3.26011 3.22495 3.32995 3.29 3.57642 3.45655 3.52766 3.51428 3.52343 3.48674 3.51653 3.50818 3.26488 3.44182 3.52634 3.41102 3.38592 3.29459 3.3263 3.36213 3.24745 3.37168
g10-g68 0.0327864 0.169678 0.790553 0.0349156 8.36235 8.28849 8.37713 8.5871 8.1841 8.21436 8.55097 8.50635 8.79968 9.02905 8.51813 8.52728 NaN NaN 90.899 24.7811 245.524 NaN 24.5342 NaN 9.7534 9.17283 13.3468 11.9148
g10-g69 0.013418 0.0991049 13.3693 0.0284489 22.3424 3.86707 3.60745 3.74524 3.53875 3.64424 23.0953 3.78439 3.82597 4.01926 3.9172 4.05959 18.9234 3.55261 3.60543 3.77061 3.69059 3.58235 7.9613 3.55008 3.55629 3.54681 3.4555 3.45748
g10-g70 0.00562695 0.00482434 0.0243577 0.0225148 5.56142 2.8082 2.82325 2.8238 2.80412 2.73945 5.78007 2.96834 3.05759 3.12586 3.02337 2.97838 5.74525 2.85854 3.03653 2.86571 3.06638 2.8764 4.25671 2.84042 2.90626 2.83336 2.82693 2.90357
g10-g71 0.0138308 0.124154 17.6282 0.0257451 27.5225 3.39189 3.51086 3.59489 3.33914 3.53745 28.4381 3.61274 3.86058 3.9012 3.87821 3.76117 22.2565 3.5091 3.97073 3.90394 3.55285 3.77725 8.42371 3.37243 3.59999 3.63704 3.48828 3.42202
g10-g72 0.0115233 0.0049182 7.44018 0.0520333 13.4254 2.37393 2.43632 2.4476 2.69878 2.33665 14.0604 2.74054 2.83978 2.80798 2.87922 2.84956 8.53151 2.42408 2.49795 2.78457 2.64245 2.52749 2.78766 2.29328 2.46125 2.35748 2.41693 2.36599
g10-g74 0.0219929 0.0065118 0.00680366 0.0261973 3.4374 3.1703 3.36149 3.27013 3.27181 3.25095 3.7197 3.62037 3.58201 3.50439 3.68403 3.66307 3.60639 3.40833 3.40022 3.52379 3.53259 3.51266 3.55955 3.35307 3.39436 3.35954 3.67559 3.35229
g10-g75 0.0538841 0.00906688 0.0177117 0.156461 8.39072 NaN NaN NaN NaN NaN 9.07878 NaN NaN NaN NaN NaN 8.50946 NaN NaN NaN NaN NaN 8.48144 NaN NaN NaN NaN NaN
g10-g76 0.180396 0.0446848 0.09518 2.96767 31.4578 NaN NaN NaN NaN NaN 32.3078 NaN NaN NaN NaN NaN 31.7552 NaN NaN NaN NaN NaN 31.5927 NaN NaN NaN NaN NaN
g10-g77 0.427452 0.155524 0.297754 19.1693 70.8246 71.0913 70.5126 70.0466 69.4683 70.2278 70.8335 70.1867 70.6903 70.3531 71.5102 70.3827 69.9511 70.8171 71.6725 70.6985 70.4715 70.1292 70.1229 69.7142 70.3218 70.2895 69.8639 70.5991
g10-g78 0.023615 0.00580313 0.0109135 0.0369273 5.82405 5.15941 5.21593 5.13364 5.3154 5.15545 6.1702 5.49223 5.49147 5.62763 5.55748 5.70577 5.96497 5.38944 5.44555 5.4216 5.27645 5.539 5.69538 5.43362 5.46872 5.3103 5.23309 5.25269
g10-g79 0.0156383 0.00602243 0.00999348 0.0306033 4.43171 4.14457 4.13678 4.14392 4.09014 4.16102 4.97436 4.53622 4.83891 4.75246 4.84579 4.54068 4.92901 4.46862 4.66344 4.50973 4.8307 4.67601 4.88184 4.26386 4.2404 4.25836 4.40767 4.17415
g10-g80 0.00570636 0.00701377 0.00893124 0.0251665 3.19512 2.81766 3.00731 2.87194 2.83345 2.96113 3.69699 3.16136 3.19237 3.2115 3.22894 3.04983 3.36415 3.14547 3.17879 3.06326 3.10287 3.06391 3.22105 2.88057 3.09776 2.89742 2.79896 2.71499
g10-g81 0.0368506 0.0147972 9.39683 0.0456007 18.769 7.59583 7.98614 7.55948 7.50659 7.62821 18.776 7.986 7.99284 7.9068 7.83262 7.92516 19.0811 7.79588 7.66623 7.78775 7.76419 7.96737 13.2647 7.57184 7.73424 7.53829 7.75176 8.03842
g10-g83 0.022475 0.00943275 0.0151584 0.0387467 8.08849 6.97501 7.04279 7.1342 6.88222 7.11545 8.56438 7.44586 7.2627 7.38571 7.58617 7.58223 8.52054 7.25938 7.56809 7.40279 7.31111 7.38772 8.21064 7.06515 7.30743 7.35835 6.85044 7.38123
g10-g84 0.268115 0.068472 0.14428 3.19655 57.0157 53.4858 52.9878 53.2013 53.9643 53.2786 56.7385 53.9616 53.8675 53.1685 53.6073 53.7462 55.8738 54.1019 52.943 54.4976 53.9922 54.068 55.991 53.696 54.0003 54.0756 54.6992 54.7381
g10-g85 0.0108118 0.00841911 0.0137954 0.0273027 4.81954 4.05641 3.86453 4.09146 4.06084 4.2218 5.49063 4.33871 4.54568 4.40427 4.41975 4.42069 5.34872 4.23758 4.23112 4.28207 4.21259 4.32484 4.75626 4.10073 4.20246 4.21345 4.20795 4.10541
g10-g87 0.0490423 0.00891941 0.0182957 0.0329589 7.10063 NaN NaN NaN NaN NaN 7.46588 NaN NaN NaN NaN NaN 6.92836 NaN NaN NaN NaN NaN 6.76797 NaN NaN NaN NaN NaN
g10-g88 0.0332502 0.00981226 0.0183617 0.0404052 7.02508 NaN NaN NaN NaN NaN 7.28177 NaN NaN NaN NaN NaN 7.21662 NaN NaN NaN NaN NaN 7.02798 NaN NaN NaN NaN NaN
g10-g89 0.00876018 0.00943021 0.0139183 0.0283986 5.63201 4.57472 4.53523 4.58803 4.60126 4.52217 5.99921 4.97386 4.92291 5.03545 4.91202 5.04114 6.01114 4.89626 4.81315 4.99545 4.77572 4.91336 5.45985 4.7206 4.75339 4.54641 4.70065 4.70796
g10-g90 0.0168149 0.013032 0.0214125 0.0356802 9.37147 7.30072 7.33054 7.26308 7.31391 7.5612 9.91964 7.70868 8.08811 7.54873 7.99767 7.61264 9.42729 7.64748 7.61338 7.467 7.60417 7.49678 8.87977 7.40766 7.61417 7.64212 7.7465 7.8795
g10-g91 0.0614261 0.0847771 320.54 0.0358321 41.9825 5.7032 6.00603 6.3125 5.76957 5.80595 42.691 6.10926 6.61615 6.64405 6.43837 6.37724 39.2879 6.09068 6.27347 6.28739 5.98954 6.22746 20.9264 6.14769 5.95715 6.29037 5.97735 6.10142
g10-g92 0.0528331 0.108693 156.599 0.0382384 46.4193 6.10241 6.66626 6.85879 6.12007 6.26659 49.7206 6.61473 7.07718 7.32534 6.49248 6.62167 45.7911 6.31366 6.98868 7.00427 6.29961 6.71031 22.7111 6.07653 6.48886 6.87945 6.11425 6.34402
g10-g94 0.0518377 0.0203195 0.0362304 0.0429601 11.5886 8.28315 8.38575 8.44445 8.33887 8.34847 11.8683 8.95085 9.01243 9.24131 9.06084 8.91918 11.9957 8.67761 8.71309 8.52206 8.76897 8.67293 10.5162 8.22178 8.54292 8.49463 8.40341 8.67212
g10-g95 0.0513351 0.0273186 4.87534 0.0465073 18.9487 4.72897 4.80801 4.77503 4.66116 4.77816 19.6322 5.18203 5.24856 5.17978 5.07851 5.17127 18.4225 4.91269 4.83604 5.01079 4.9538 5.14188 10.8089 4.82313 4.67755 4.80729 4.86327 4.82406
g10-g96 0.0467714 0.0291173 5.25492 0.0393821 26.2898 NaN NaN NaN NaN NaN 26.8835 NaN NaN NaN NaN NaN 25.1376 NaN NaN NaN NaN NaN 13.3321 NaN NaN NaN NaN NaN
g10-g97 0.0636527 0.023538 7.58013 0.21503 26.6312 5.29499 5.10092 5.23289 5.25677 5.34482 27.7255 5.65588 5.86712 5.91926 5.64818 6.16938 24.8021 5.49397 5.34203 5.5217 5.4183 5.49286 14.078 5.54385 5.17993 5.16044 5.15676 5.23621
g10-g98 0.0892391 0.0717491 52.501 0.0990058 98.1058 NaN NaN NaN NaN NaN 102.354 NaN NaN NaN NaN NaN 75.7152 NaN NaN NaN NaN NaN 26.6765 NaN NaN NaN NaN NaN
g10-g99 0.0857173 0.0731827 66.0671 0.121754 115.778 NaN NaN NaN NaN NaN 118.229 NaN NaN NaN NaN NaN 78.3237 NaN NaN NaN NaN NaN 26.9982 NaN NaN NaN NaN NaN
g11-g100 0.010438 0.0196434 0.0283125 0.0485203 7.58334 5.75076 5.67354 5.73564 5.85358 5.8109 7.88227 6.42741 6.3955 6.48847 6.57708 6.4664 7.67365 6.17637 6.04844 6.24373 6.22417 5.8518 7.1426 5.8342 5.93288 5.73481 5.79202 5.8063
g11-g101 0.0160152 0.0261491 43.069 0.0480164 697.716 9.86379 9.3892 9.54848 9.82915 9.73639 699.321 10.0897 10.1689 10.153 10.1291 10.1761 708.825 9.74601 9.97607 10.1544 10.5045 9.8758 219.102 9.61266 9.5809 9.55121 9.72667 9.70895
g11-g102 0.0258078 0.0271874 247.232 0.0685337 874.107 11.5169 11.4091 11.6623 11.5557 11.436 931.346 12.1268 12.4285 11.9422 12.0075 12.0069 874.779 11.8141 11.5936 11.6085 11.5637 11.7822 273.216 11.6218 11.4439 11.7938 11.4659 11.6146
g11-g103 0.102282 153.12 1000.01 0.218687 NaN 15.1434 14.9425 15.0812 14.9379 15.1893 NaN 15.8055 15.659 15.9701 15.9129 15.8051 NaN 15.2944 15.5507 15.2907 15.3001 15.2344 356.04 15.0476 15.3204 15.0913 15.0765 15.1483
g11-g104 0.168298 1.68789 1000.01 1000.02 NaN 12.009 11.6306 11.9392 12.1054 12.0987 NaN 12.7109 12.7308 12.5321 12.6524 12.7747 NaN 11.9407 12.419 12.2752 12.3425 12.334 NaN 11.6936 11.7819 11.8393 11.7119 11.7155
g11-g105 0.151656 1.70322 1000.01 991.341 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
g11-g106 0.305582 45.5016 1000.01 1000.02 NaN 20.5627 22.5153 22.4202 20.2623 20.2111 NaN 21.0164 22.4132 23.7828 21.5713 21.1189 NaN 20.8983 23.9283 23.0007 20.4893 20.6113 NaN 20.2271 22.0337 21.7868 20.302 20.2751
g11-g107 0.25674 10.1201 1000.01 1000.02 NaN 16.6081 16.7849 16.5133 16.685 16.7614 NaN 17.2919 17.4546 17.6917 17.504 17.4585 NaN 16.9513 16.9579 17.1719 16.9974 17.1048 NaN 17.0101 17.0044 16.7146 16.7543 16.9129
g11-g108 0.33762 13.3879 1000.01 1000.02 NaN 18.5289 18.8787 18.6545 18.5334 18.6814 NaN 19.1415 19.4179 19.4774 19.1069 19.3884 NaN 18.7695 18.7434 18.9838 19.6282 19.152 NaN 18.618 18.7045 18.504 18.9434 18.652
g11-g109 0.0356562 0.103391 367.267 0.174261 NaN 21.9884 22.0325 22.27 22.1853 22.4092 NaN 22.8939 23.207 23.0691 22.8324 23.0293 NaN 22.6008 22.8348 22.8136 22.7857 22.5349 NaN 22.322 22.1715 22.2147 22.146 22.1503
g11-g110 3.53992 NaN 1000.02 12.7711 NaN 44.1094 NaN NaN 44.3232 NaN NaN 44.9026 NaN NaN 45.0018 NaN NaN 45.0328 NaN NaN 44.705 965.037 NaN 44.016 NaN NaN 44.2379 427.326
g11-g111 0.454729 48.4126 1000.01 1000.02 NaN 23.884 26.0102 26.2057 23.6236 23.9572 NaN 24.7728 26.4382 27.4257 24.544 24.4005 NaN 24.4334 26.6401 26.5343 23.9589 24.4837 NaN 23.7362 24.7492 25.1805 23.7269 23.6511
g11-g112 0.599514 0.576564 1000.01 0.219108 NaN 26.4434 26.5132 26.4196 26.4867 27.2259 NaN 27.71 27.138 27.7876 27.7592 27.6127 NaN 27.2841 27.058 27.1602 27.2764 27.1778 NaN 26.5146 26.5211 26.3218 26.5525 27.0266
g11-g51 145.82 138.109 1000.01 1000.02 NaN 143.989 NaN NaN 145.54 NaN NaN 144.343 NaN NaN 146.135 NaN NaN 144.635 NaN NaN 145.379 NaN NaN 144.915 160.778 192.396 146.247 60.6686
g11-g52 0.00642359 0.00299041 311.822 0.0234227 189.022 2.1926 2.18223 2.37291 2.23418 2.18634 194.566 2.38656 2.41008 2.36794 2.47061 2.36981 55.815 2.35545 2.29025 2.36349 2.35532 2.3843 4.17519 2.28212 2.29636 2.27917 2.31344 2.40934
g11-g53 0.0092853 0.226811 1000.01 0.726524 NaN 2.68371 2.63069 2.64798 2.59865 2.62159 NaN 2.8212 2.81694 2.8561 2.77697 2.82362 563.983 2.68432 2.77826 2.71383 2.67688 2.67459 58.0127 2.64839 2.72304 2.6518 2.67102 2.6334
g11-g54 0.00980501 0.174336 1000.01 0.0663056 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 241.485 NaN NaN NaN NaN NaN
g11-g55 0.00760915 0.0868016 147.891 0.0259136 297.771 2.82616 2.81392 2.8919 2.86362 2.855 280.787 3.08613 2.9715 2.94046 3.00493 2.91988 123.189 2.90097 2.93847 2.93263 2.98875 2.97567 14.9818 2.91115 2.91444 2.94009 2.80239 2.81114
g11-g56 0.0116772 0.260786 1000 0.117836 NaN 2.88317 3.73998 3.93045 3.06565 3.14182 NaN 3.06178 3.89201 4.31165 3.09625 3.54535 NaN 3.09294 4.08165 3.98376 3.08783 3.26528 465.885 2.91721 3.07505 3.16703 2.90359 3.01695
g11-g57 0.00553337 0.00310907 0.00417897 0.0232855 2.04249 2.07406 2.1717 2.14578 2.17611 2.05387 2.26076 2.30496 2.32563 2.25482 2.35593 2.25065 2.12232 2.15858 2.10761 2.16787 2.18482 2.16109 2.07875 2.21348 2.07834 2.23056 2.07398 2.18014
g11-g61 0.0059939 0.00366333 3.88264 0.0249728 38.0297 2.84568 2.92551 2.85289 2.81338 2.83613 42.6115 3.09019 3.03746 3.09133 3.05268 3.02737 30.9872 2.96885 3.00155 3.08993 3.00445 3.23577 9.65156 2.89547 3.03627 2.93555 2.91242 3.03025
